time(in ms), time(in s), hsL, hsL*wid, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
224,51,-12.74659395,-12236.73019,22.3170948,-0.977404118,32.92572498,121.7838764,256.3379216,119.0537095,316.8972552,115.1937962,372.641294,104.5907879,256.2041384,112.4759531,320.2981138,109.6668506,380.3254366,5.47,0.78,1.49,2.21,1.95,0.71
296,51,-12.02215433,-11541.26816,19.32981491,-0.710027218,30.6197691,121.974206,256.7184144,119.5689011,317.6648712,115.1179862,372.6552951,104.7599316,257.2039479,111.9688368,320.9374022,109.5766568,381.0900915,4.92,1.34,1.26,2.59,0.89,0.71
357,51,-12.16337442,-11676.83945,19.10904408,-0.454165936,31.42208576,121.9523764,256.6498089,119.5716977,317.5725925,115.1097322,372.6428711,104.7551966,257.0393944,111.9765544,320.8926952,109.8354006,380.8460855,4.79,1.35,1.13,2.59,0.95,0.72
428,51,-13.88106823,-13325.8255,16.83508873,-4.43010807,28.23842525,123.2695198,256.577518,121.8950844,315.6023276,114.7812581,370.5887282,109.1298294,257.1553624,117.3361087,319.4264066,110.9482598,379.3108535,7.67,3.41,3.42,4.15,0.08,1.19
490,51,-16.60127878,-15937.22763,12.04167366,-7.009305954,26.07408285,124.399724,255.2637774,123.0237436,314.1929448,113.7878251,366.1439323,112.0276952,256.3997519,120.5719614,318.4233463,111.8679142,377.0875704,9.2,4.96,4.75,5.7,0.87,1.19
563,51,-16.38410568,-15728.74146,13.49723339,-6.042351723,27.45923281,126.3868761,254.6594596,126.2560987,314.2723489,116.228714,366.4952159,113.4587932,255.3510028,124.4571877,317.3065388,114.7617316,377.0913363,10.91,6.09,5.19,6.15,0.46,2.12
623,51,-12.80005217,-12288.05008,20.16175747,-0.137135983,29.31788921,128.8282156,254.6790612,126.3419008,315.8667076,121.3632631,372.2302401,115.5919218,255.4131389,126.1233473,316.4341557,121.1875677,376.3257158,8.2,1.54,2.64,2.83,0.55,1.33
709,51,-21.27089739,-20420.06149,9.619631767,10.46778917,48.69886637,130.6251812,254.720791,124.9651766,316.6423702,117.9727936,376.3123262,118.0704761,255.2921981,138.0690479,315.7633889,139.2627668,376.2545514,9.9,0.83,0.65,3.76,5.42,0.04
772,51,-27.36323833,-26268.7088,2.941560745,36.6724205,66.44373894,136.6091251,255.2992791,125.6852961,316.8029809,115.6626606,376.7267919,124.6023846,256.1266816,145.1286077,315.7421136,164.445591,376.5087605,0.82,0.33,10.16,5.36,4.76,3.63
850,51,-32.46633768,-31167.68417,0.857620239,52.19964981,80.58185577,141.5232754,258.8841319,128.6897135,318.1791794,115.3229213,376.818105,129.4370842,258.6172736,153.9465094,317.0321488,182.1918297,376.166296,1.76,0.37,15.06,7.29,7.75,4.32
908,51,-37.58787632,-36084.36127,-4.305481911,53.49306107,84.11819458,146.752882,261.2680095,131.8034792,319.1526604,115.386529,376.5510213,135.3575706,261.1712569,162.9957676,318.7660682,190.2451515,376.196326,0.16,0.87,14.96,9.12,9.74,5.09
982,51,-41.44015789,-39782.55157,-8.469128609,50.46545506,82.748909,150.8668756,263.3048683,134.4144773,320.3524125,115.8483553,376.3799822,139.5662355,263.2806963,168.0330992,320.5195248,192.6405573,377.4855888,1.97,1.34,13.68,10.54,10.15,6.64
57,52,-49.720366,-47731.55136,-16.5265274,40.28298855,71.56508446,160.8500862,264.1515827,145.3209829,320.2685666,118.6004519,373.6679792,150.1858091,264.9883193,176.743412,321.2123072,194.6690226,378.2111049,4.85,6.87,10.05,15.7,8.27,8.01
