time(in ms), time(in s), hsL, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
728,46,-7.741706371,22.5676775,6.591467857,19.91048098,112.8855944,213.2631201,111.5932131,279.9506199,108.8751125,340.1611161,81.00795507,216.075899,86.7314744,283.2572365,89.70351934,341.3642478,1.1,0.83,1.66,1.44,7.16,2.25
803,46,-7.806522846,21.37786388,6.61608696,22.70659447,112.5592947,210.2529573,110.6147933,277.8411162,109.2128062,340.0328529,81.28510952,211.9796026,86.1662221,280.4551756,89.8221302,342.0403576,0.38,0.2,1.92,0.71,8.28,3.04
879,46,-7.834939957,21.67302132,6.773643494,22.31672287,112.4199629,210.3410196,110.3101659,277.9858589,109.0330911,340.5677283,81.12426996,211.9588584,86.14520073,280.4316151,89.82398987,342.7784264,0.46,0.35,1.91,0.64,8.18,3.09
941,46,-8.060588837,21.54527664,5.968487263,20.55974722,112.6418066,210.318296,110.6543326,278.0013728,109.0444636,340.7427263,81.92073584,211.8901402,86.42771959,280.7085478,89.82676506,343.0952382,0.35,0.12,1.76,0.81,8.07,2.93
44,47,-8.224954605,21.54555559,5.553202629,19.57448244,112.8103137,210.3025246,110.8863759,278.0295038,109.1051316,340.9021783,82.33211517,211.8388671,86.63567305,280.9146059,89.82803106,343.2634127,0.36,0,1.66,0.9,8.08,2.87
101,47,-12.06840277,18.70896578,-2.201356888,20.72883368,115.7798696,211.6206586,114.0088964,278.1509435,109.0863633,340.8994424,88.07197809,212.4966145,102.7038074,280.7876623,91.15048885,339.8823166,13.15,1.67,6.26,2.51,3.3,2.25
209,47,-16.74119711,16.2174654,-5.129771233,19.42174673,118.0665207,212.6048255,116.3676095,278.2583177,108.355794,338.8730764,91.01082802,213.4539217,108.601141,280.4597783,94.04660225,340.1120961,16.21,3.42,7.8,4.23,1.69,1.76
274,47,-18.62107515,15.29537201,6.045227051,37.50737429,123.0003405,212.5509775,122.6608658,278.3933723,113.0942917,339.1040146,95.66084146,213.4311175,127.5713253,272.2858214,111.7377448,337.0072889,24.8,4.9,7.82,5.05,7.63,0.14
370,47,-22.54676342,11.87464714,35.30384302,68.47926378,125.6902027,212.1427721,121.3245392,278.2546806,112.7589655,339.0758514,100.4884744,212.9561895,139.4810486,272.6022792,142.8957653,337.6807594,18.5,2.4,1.71,4.51,11.89,0.04
438,47,-28.20182562,8.982038498,63.69059801,96.16326571,131.4019489,212.9248238,123.3313465,279.0995443,112.5168657,340.5971146,107.5523257,213.4262252,145.9089804,274.3218434,174.9797344,342.2874212,5.98,1.72,13.55,5.63,12.07,0.95
