time(in ms), time(in s), hsL, hsL*wid, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
599,45,-6.315486431,-6062.866974,17.76908398,1.063706875,13.64169359,103.1127119,252.2803938,102.087872,304.826349,101.6740036,352.2714186,80.42618752,252.6558012,82.23976135,306.1614132,83.44633341,360.1068699,0.37,0.35,0.73,0.27,4.45,0.69
693,45,-5.091941357,-4888.263702,19.66734409,-1.098711491,11.99182749,103.7080336,251.3340783,102.2511649,303.1457305,102.0111108,352.2734463,80.45790911,251.724388,82.49286175,303.7145627,82.14076281,358.5594714,1.47,0.75,0.2,0.14,4.62,0.47
751,45,-5.074181557,-4871.214294,20.19755602,0.122201443,12.02620983,103.7131906,251.7387432,102.2904539,303.5837245,102.2303009,353.1962335,80.47915936,252.00948,82.49773264,304.5950246,82.30216026,359.2881095,1.35,0.85,0.11,0.02,4.73,0.35
850,45,-5.274353027,-5063.378906,19.96654272,0.122272968,11.85943365,103.8571286,252.3020875,102.4553132,304.3891275,102.234199,353.2146442,80.60744762,252.6064271,82.51729488,306.1445153,82.0953083,359.3512273,1.41,0.72,0.25,0.13,4.75,0.47
920,45,-6.702046394,-6433.964539,18.62001657,-0.583205223,10.21234989,104.8864818,252.5477993,103.4992862,305.2676582,102.1639609,353.0960691,82.52482653,252.965886,88.04332495,306.4951551,83.79005671,359.1105044,5.92,0.05,2.6,0.89,1.95,1.99
999,45,-9.729044437,-9339.88266,16.32736444,-1.113474369,13.49115372,106.9299245,253.5241771,107.0462179,305.7299852,102.0717216,352.4620271,85.63455105,253.9760435,97.35923052,306.8134797,90.06797791,357.6945233,11.72,3.5,4.6,3.41,2.63,4.14
68,46,-11.89784288,-11421.92917,13.09978724,2.1941185,23.7780118,109.1762567,252.1558803,112.561183,301.6855252,102.6985574,347.306006,89.47412252,252.8994209,109.1608644,304.2064369,98.68339062,354.8233259,18.82,9.13,6.63,6.92,8.26,7.37
146,46,-13.58397961,-13040.62042,5.73438406,17.82119751,38.13353777,112.6411986,252.4856794,111.8707252,302.1412861,104.0083909,348.1180394,94.58289385,252.9225469,116.9889164,302.3927271,116.7227626,355.2581012,14.46,4.99,0.15,5.48,11.35,5.63
219,46,-19.3675518,-18592.84973,2.714939117,38.59298229,59.54951763,118.3805895,252.5239974,115.4252601,302.9886925,103.9334822,353.6762953,99.91952419,252.9258782,121.4940119,302.8782284,138.5626316,360.6253624,4.22,5.38,9.45,7.26,11.43,4.47
291,46,-23.17723274,-22250.14343,3.812270164,43.68764162,63.88527632,122.0190954,253.174004,116.8341208,304.2119408,103.8322234,355.6576967,104.6009088,253.0287945,124.8483181,305.0876069,148.1152582,361.5773749,0.7,4.82,13.06,8.08,9.75,2.88
363,46,-30.98553658,-29746.11511,-2.841339111,47.00980425,64.64479208,129.3873167,254.2489851,119.7306061,305.8697391,103.6902595,355.6329775,111.5535665,253.7017339,133.8358927,306.05317,158.4624767,362.7516997,0.27,4.27,13.74,10.26,11.19,0.28
437,46,-40.64404249,-39018.28079,-13.53096485,37.29475021,56.09713554,139.8604774,255.0669247,129.1109562,305.7902706,105.970788,351.3556159,121.6311836,255.4275745,143.2142544,309.3821561,161.457324,363.2486916,1.9,9.14,10.8,15.93,9.51,1.79
