time(in ms), time(in s), hsL, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
854,19,-3.131089210510254,23.417744636535645,3.6639404296875,26.08055591583252,183.03746223449707,217.64870882034302,182.99260139465332,275.45403599739075,184.5075273513794,330.58984637260437,162.61751174926758,220.67103803157806,167.31356620788574,278.93301129341125,170.24630069732666,335.9377956390381,0.94,0.91,1.67,0.90,4.66,2.68
942,19,-3.060922622680664,24.43629741668701,4.2186784744262695,30.50515651702881,181.80018424987793,216.91587030887604,182.27691650390625,275.1062285900116,184.05182361602783,330.7876646518707,161.72560214996338,218.81149470806122,166.78668022155762,279.22085523605347,171.14596366882324,337.9213857650757,0.31,0.76,2.41,1.04,3.96,2.00
991,19,-3.068118095397949,24.656267166137695,4.057431221008301,29.690065383911133,181.79208755493164,217.05386996269226,182.3428773880005,275.3077805042267,183.9741039276123,330.76497316360474,161.78765773773193,219.36114370822906,166.78207397460938,279.51977133750916,170.7172393798828,337.9213535785675,0.50,0.64,2.18,0.96,3.95,1.95
91,20,-3.5976076126098633,24.45842742919922,3.8832521438598633,29.22125816345215,182.0520257949829,217.04622566699982,182.76353359222412,275.52478194236755,183.8426113128662,330.7019519805908,161.87117099761963,219.32998716831207,167.4373483657837,279.2664313316345,170.54152965545654,337.84024357795715,1.28,0.24,1.72,0.65,3.32,1.73
155,20,-4.9424028396606445,23.62247943878174,2.613973617553711,28.075876235961914,182.92941570281982,217.04574286937714,183.70882987976074,275.8313584327698,183.64807605743408,330.7012116909027,163.0268955230713,219.3086314201355,168.68366718292236,279.3192172050476,170.54233074188232,337.8383767604828,2.01,0.46,1.04,0.02,3.06,1.44
251,20,-6.090087890625,22.72243022918701,1.3171720504760742,27.923526763916016,183.92455101013184,217.045179605484,184.69289302825928,276.2218773365021,183.48093509674072,330.79229950904846,164.44157123565674,219.15815949440002,170.86425304412842,279.1329860687256,170.72140216827393,337.6648271083832,3.53,1.13,0.06,0.70,2.29,1.16
317,20,-10.056381225585938,19.835243225097656,-3.266615867614746,25.767230987548828,186.98331356048584,217.04416573047638,188.07267665863037,276.1096429824829,183.10795783996582,330.32726883888245,169.60731983184814,219.13313448429108,179.5726490020752,278.5917055606842,172.7315855026245,337.19950675964355,9.14,3.54,3.74,2.93,0.77,0.79
409,20,-15.790801048278809,15.056233406066895,-4.579095840454102,26.25849723815918,189.1439723968506,215.57993710041046,194.25905227661133,273.8176417350769,181.93405151367188,325.3793978691101,174.79026317596436,218.31707775592804,188.13724994659424,278.4435510635376,178.04991245269775,335.2115070819855,12.83,10.49,5.69,7.64,0.10,2.05
486,20,-15.152320861816406,14.563393592834473,-1.168198585510254,28.36453914642334,191.61036014556885,215.312579870224,200.76354503631592,272.79572010040283,184.39088344573975,325.1037526130676,176.86546325683594,217.5392907857895,191.10312938690186,276.08038544654846,183.4632110595703,334.3588864803314,12.01,15.10,4.20,9.97,0.93,4.85
549,20,-9.528264999389648,18.60538959503174,0.9238815307617188,31.26800537109375,192.85011291503906,214.84227061271667,204.48273181915283,272.16451048851013,191.00117683410645,325.35712480545044,176.23406410217285,216.30171954631805,192.14162349700928,273.6475682258606,184.6162748336792,333.4580183029175,12.92,14.63,4.03,8.10,2.77,7.42
