time(in ms), time(in s), hsL, hsL*wid, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
620,49,3.658289909,3511.958313,33.1478548,-10.00020504,14.52057123,119.5906448,245.3561425,119.4519711,296.0714257,125.5532455,343.5679615,94.0175271,248.3977675,92.24076748,303.0301487,89.06849384,360.9827614,0.72,4.22,1.75,4.15,9.41,0.69
701,49,5.634205341,5408.837128,34.10377264,-8.735954762,17.62272835,119.044826,243.2642448,119.4304562,296.2383127,125.958724,344.5918143,93.1935811,246.5836716,92.34841347,301.6329968,88.85506868,361.7132664,1.38,4.11,1.86,4.36,8.71,0.2
786,49,5.90174675,5665.67688,34.14606571,-8.622136116,17.64355659,119.0018463,242.8315938,119.4240046,295.909431,126.4206076,344.6025646,93.09941769,246.0841209,92.35821247,301.0663533,88.85757923,361.3574445,1.44,4.36,1.86,4.64,8.66,0.23
839,49,6.423997879,6167.037964,34.61807728,-8.22306633,18.04352045,118.5301495,242.2416151,119.2859387,295.6797159,126.5103579,344.670285,92.70346642,245.3644466,92.47771025,300.8839524,88.89653206,361.2429571,1.78,4.29,1.9,4.76,8.23,0.56
940,49,7.578184605,7275.05722,35.61030149,-7.863972187,19.24070835,117.5824285,241.9894499,119.0970111,295.3479052,126.702261,344.7466314,92.32076168,245.118075,93.01811457,300.8613575,88.93265963,361.1904931,2.58,4.03,2.17,4.97,7.63,1.1
980,49,8.105227947,7781.018829,36.0899663,-7.384221554,19.75801706,117.1246791,243.1562269,119.1240621,295.3521538,126.8603754,344.9604464,91.83714151,246.7809588,93.08743715,301.5197968,88.9967823,361.2087429,2.94,3.78,2.19,5.03,7.19,0.9
80,50,8.981430531,8622.173309,36.97758436,-6.939532757,19.95689392,116.2373328,244.4744575,120.0769186,295.2626431,126.9450331,344.9681711,91.38763189,248.6168933,92.01217175,302.3880279,89.07490253,361.2725365,1.98,2.01,1.59,4.46,7.61,1.68
119,50,10.56313276,10140.60745,39.38171625,-4.871857166,22.20481396,114.0721822,244.0494668,124.4810486,294.5659661,126.9490528,344.5619452,89.31834698,248.5040474,90.44715643,302.6075721,89.06398058,361.2572801,1.43,5.02,0.75,1.61,6.7,5.41
241,50,11.62746906,11162.3703,41.40023232,-2.23277092,24.90837336,112.3431444,243.4725881,136.0297108,291.5275276,127.2829628,340.934236,86.64344072,248.3925855,89.90388393,303.5204136,88.95660639,360.8606458,2.44,21.18,0.52,5.67,4.77,14.18
284,50,10.87150097,10436.64093,42.63599396,-3.74778986,22.74215698,114.2568827,243.4690797,144.0505457,290.5503452,130.9316397,339.6705937,87.96951056,248.9007944,89.9436307,305.0842917,88.83066416,360.6602848,1.78,28.14,0.63,8.53,5.34,17.57
393,50,21.03654385,20195.08209,55.01180649,-7.392239571,19.48722124,117.6874208,243.6141282,150.415163,289.3941414,145.6510448,341.2286139,90.55106163,248.8690263,90.40475607,307.1423936,88.4922123,360.4904366,1.07,24.87,1.14,2.94,5.41,20.45
443,50,36.95106983,35473.02704,68.81920338,-12.82733917,13.85182858,123.2350016,244.214294,155.4968977,289.4695866,164.713068,344.9749303,96.1190486,248.4547859,91.00278139,307.8268719,88.58357191,360.3021455,1.29,16.51,1.47,5.35,7.34,21.18
540,50,50.16793728,48161.21979,82.05343723,-21.99282646,4.519972801,130.4525471,247.753635,163.8049078,291.7450762,183.0311251,347.690345,105.5060148,250.1039261,95.02724648,307.665714,88.98634672,361.2647152,2.22,12.16,3.61,10.96,9.64,22.82
580,50,42.50776291,40807.45239,73.85596275,-33.23420763,-6.753408909,142.7430153,250.9043241,175.8685112,293.3807302,188.8586283,349.8883617,116.7529535,253.7008005,101.0915065,308.8265526,89.68142509,361.3098729,2.11,16.32,6.96,7.39,12.22,22.55
691,50,37.70336151,36195.22705,67.72065639,-40.94959974,-12.88259983,149.0982485,252.5192821,182.3970509,294.434967,191.190691,350.3923702,123.7549067,253.5986245,107.036047,308.6788487,89.98664618,360.3448248,0.83,19.03,10.5,5.07,11.48,23.88
733,50,24.93132591,23934.07288,56.47643566,-53.33919525,-25.03932238,162.7549982,251.922335,190.1451445,295.0992966,193.0229902,351.1941683,137.0275211,253.2676345,122.1833324,307.9571307,91.88836813,356.9348896,10.5,17.99,19.17,1.67,9.96,18.65
