time(in ms), time(in s), hsL, hsL*wid, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
736,48,3.654620647,3508.435822,3.025403023,11.6951251,23.23996067,102.3726654,226.9186968,103.3734369,289.5211172,107.6134014,342.7319169,68.07441473,228.1434256,83.21582794,293.0770183,81.39708281,352.5606465,8.46,2.05,0.98,2.56,1.77,7.29
814,48,-0.156161785,-149.9153137,2.194647789,7.730734348,20.79397917,103.8046503,227.5733221,104.3006802,291.8718266,106.3846064,344.6060085,70.4727459,228.3010751,83.95792723,293.0191147,80.65513372,353.1242323,8.46,1.02,1.76,1.27,0.19,6.19
874,48,-0.091252327,-87.60223389,1.601271629,7.013411522,20.80470085,103.8165021,227.396763,104.3086839,291.794064,106.375258,344.6127355,70.4527545,228.0556369,84.08034325,292.037555,80.36495447,352.9572165,8.8,1.01,1.96,1.26,0.29,6.11
961,48,-3.677108288,-3530.023956,4.006576538,12.82022953,27.08028316,103.6673856,227.1091121,103.7555408,291.5487385,103.4474659,348.8912237,70.326612,228.1504905,84.38608646,292.6454937,85.85447788,355.5680895,6.24,0.22,0.76,0.17,0.55,5.46
13,49,-4.435887337,-4258.451843,4.509608746,14.20590878,28.12591553,103.5579586,226.7978364,103.485868,291.4183831,102.5887585,349.036417,70.26177406,228.1517136,84.53892946,293.0525887,87.04158783,355.582509,5.76,0.47,1.3,0.5,0.65,5.26
119,49,-22.3219943,-21429.11453,3.095598221,19.89702702,42.76171446,103.5370231,227.6887751,98.59294653,293.4032607,88.24562788,348.9706922,71.40156984,228.5106093,87.11228371,293.07248,93.10365915,355.5021071,4.7,3.56,3.1,5.97,0.85,2.76
160,49,-27.60780573,-26503.4935,-4.142768383,31.99915409,56.74005747,103.9066815,227.686345,98.45291376,292.1490812,83.06200504,346.8387866,73.28047514,228.8052446,93.49735737,292.2653067,106.4259839,355.5358064,3.6,6.27,6.57,8.98,2.42,2.47
265,49,-29.1641593,-27997.59293,-5.719721317,38.64283562,61.72867298,105.2388096,227.2582483,98.7250185,290.9853137,83.02750111,345.6742787,75.19031525,228.3295763,98.38840485,289.6655703,114.8937106,355.7690299,4.02,5.88,8.01,9.16,3.94,1.66
306,49,-30.64058304,-29414.95972,-6.309521198,39.67499971,62.1592927,107.3083019,227.3892474,99.53922272,291.3043785,84.68791008,345.4370964,77.7874589,228.3077699,102.1552134,289.4774723,119.0605831,355.9735107,4.49,4.86,8.15,8.76,4.78,1.47
420,49,-35.39375067,-33978.00064,-9.785413742,40.25799036,65.59765577,111.6960812,227.8887659,102.770462,291.9574749,85.13220549,345.2453291,82.18173265,228.2971966,108.5085225,289.6247256,125.1499128,357.5596297,5.73,6.07,7.86,10.54,6.15,1.51
463,49,-40.53151131,-38910.25085,-13.32258224,36.08572483,65.08210659,115.5717731,228.7318754,105.1075888,292.2039914,85.46964884,345.7698727,88.11534405,228.5807276,113.0395246,289.378016,128.2155704,358.4736943,5.94,6.35,7.06,11.64,5.67,1.13
570,49,-49.26170826,-47291.23993,-16.39735937,26.52748346,58.23265314,124.6352577,230.9579104,113.7794423,292.7123451,89.22519207,345.1446176,98.79633665,230.1350462,119.9227452,290.4338944,130.8484125,358.8904452,6.02,9.11,5.15,14.75,3.25,0.16
