time(in ms), time(in s), hsL, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
359,6,-12.83078671,18.75246048,0.000543594,27.9943943,234.796114,231.3808733,233.5825253,285.2741718,228.0702925,335.2448845,219.2046833,232.9171354,225.9523058,289.2488194,224.3179035,341.8784916,4.86,2.82,0.99,3.53,1.77,1.36
190,8,-20.58443069,-4.701061249,-34.27568436,-7.952785492,859.6222687,229.9053633,853.8866615,281.3614511,844.138813,331.6838336,883.1057167,234.9889326,869.9123383,286.7745781,855.5177879,337.7092767,0.88,2.63,9.02,6.21,1.67,2.41
141,9,-20.74396133,-2.311992645,-31.74676895,-3.46572876,859.1067123,231.0047257,853.7266731,281.5309131,842.8808784,333.4298229,879.6303177,234.380334,869.5651245,287.5072074,854.5644951,338.6532748,3.29,3.28,9.35,6.7,1.68,2.08
181,10,-20.34988403,-0.151290894,-31.45980835,-3.300018311,859.0073204,231.0418528,853.1826782,281.4949608,842.9281998,333.5087121,879.3398666,234.1996551,869.2323875,287.1404743,854.6258926,337.9040372,3.06,2.61,9.18,6.32,1.68,2.26
166,11,-12.27870941,18.15301895,1.63064003,28.06633472,234.0054131,231.0064155,231.6128397,284.995501,226.4392662,334.9102092,217.9306555,231.6233182,219.9465752,288.73155,224.8489523,342.760756,1.78,1.91,2.94,3.32,4.43,2.6
229,11,-10.50616264,18.80297184,0.502309799,26.50939465,234.3264341,230.687061,233.2009363,283.9771199,229.3091297,334.9092436,218.5318995,231.6488421,222.8771639,287.7574897,223.7003946,341.9668436,2,1.78,0.5,2.45,3.04,1.71
320,11,-12.47084141,15.48767567,-2.079262733,25.96196651,236.0780382,230.9657317,234.7450733,284.6683896,229.4380045,334.2368674,221.0403013,232.1737719,229.2376471,288.557775,224.1251278,341.8555427,7.76,2.65,3.07,3.43,1.07,1.69
379,11,-15.3412056,13.95725727,-4.587621689,25.18456936,236.6669798,231.0674894,236.6298723,284.6646237,228.9730024,333.4419894,223.6951876,232.6582432,238.9735508,287.813977,226.4286947,340.2898622,16.51,5.02,7.64,5.03,2.68,0.26
477,11,-16.2406683,12.79303551,-4.59209919,26.56488419,237.5496769,231.0663307,236.5464449,283.6985457,228.9067268,332.0658553,225.1313496,232.830264,241.2678623,287.562536,228.9781952,339.1459858,17.05,4.46,7.62,5.06,3.21,0.55
565,11,-14.33926105,16.48900509,2.898445129,33.80520344,238.0613565,230.6860632,236.414237,283.886193,231.4848232,332.1761262,225.5753374,231.8522286,250.5485058,283.2309079,235.3253031,336.264199,24.46,2.29,9.16,3.27,9.92,0.43
665,11,-14.69242573,10.50992489,20.30103207,52.85452366,239.7731924,230.4826927,239.0307713,283.2147825,231.1169672,332.2690809,227.2369623,231.6172671,256.7079163,279.4875205,254.8733997,333.6048853,20.19,4.73,1.08,5.17,14.95,2.19
746,11,-20.80924988,8.066282272,39.90593433,70.14408588,243.8234138,231.3948423,238.6856604,285.3547668,228.8954258,335.3391588,232.3296118,232.1735305,266.1280632,279.6031344,276.1329746,336.7657936,16.22,3.22,5.64,6.27,17.73,0.22
804,11,-25.48011303,6.318826675,50.1036787,79.71612453,248.84408,233.2253212,239.8253345,285.921185,229.3958473,336.5793049,237.7419519,233.4938854,274.0790462,279.387356,290.7835293,337.2098064,14.78,1.11,9.25,6.59,20.43,0.77
882,11,-38.00497055,-6.051721573,46.74659729,77.61769295,262.1148205,235.759719,246.8069172,286.9017148,230.4847527,336.4301848,251.5688038,237.3453391,287.239666,282.649523,301.6498375,339.8185229,15.82,0.94,8.09,10.48,20.03,5.78
946,11,-48.0846262,-15.99017143,39.54852104,70.80408096,273.4776878,236.2614745,256.4477062,287.6781499,233.067255,335.5746353,262.1516418,237.0914036,298.0912685,283.7110341,306.169939,342.1446097,19,4.8,4.46,15.34,19.73,6.81
28,12,-52.78058052,-20.33809662,31.68717384,63.74427795,279.9975872,237.1193737,264.6525192,288.6900294,236.4620018,334.2694402,268.9652538,237.3508269,303.2428265,284.8566484,307.005415,341.7830586,19.96,9.68,2.15,19.17,17.52,5.69
96,12,-50.26794434,-30.78806877,11.55916214,41.77130699,302.4114704,236.1406785,302.7025223,288.8515091,261.2542248,321.6124821,289.3198872,236.6155422,306.4502048,289.6905148,306.7013168,342.841866,10.14,35.62,0.17,35.43,5.37,0.16
165,12,-40.52947998,-21.04645729,7.290945053,35.98826408,308.4691143,236.0414797,312.1074772,288.5519171,278.0407619,320.8177328,294.2865372,236.5446836,309.6683407,291.1452806,305.8567429,342.0623088,11.42,32.94,2.4,30.7,4.87,1.76
281,12,-16.4218998,9.776887894,-1.894483566,27.76362419,315.0687504,235.9697843,334.8266315,282.78844,306.7007446,325.9743333,302.3225784,236.2210482,312.2117615,290.1055276,307.3283958,339.6717525,9.07,33.47,3.16,20.11,4.09,13.17
347,12,-20.80221176,10.25533676,14.46284294,51.6603756,321.3704395,235.7086551,322.8404617,287.1175897,308.3763599,340.4746449,316.5672112,234.3046635,350.9537888,277.9652917,342.2147942,332.4850845,29.05,9.59,5.13,8.65,21.94,2.42
431,12,42.84564972,75.36769867,-23.1877327,10.07823944,334.8941517,235.6619847,363.3011913,282.3151696,380.6607342,337.3366213,326.9011402,234.3547297,332.1969223,289.6839488,310.674305,340.2072072,16.56,8.84,13.46,10.08,3.35,19.17
485,12,51.49932861,82.86821365,-43.77714157,-9.679641724,348.0974007,238.7677896,377.1135521,283.1106913,401.3218117,335.8057988,343.7199783,237.506851,327.4634743,292.2173166,308.8524055,341.3783777,2.53,5.72,12,14.51,10.44,20.5
583,12,-35.65818787,-24.01525497,18.68313789,48.77820969,364.3580532,240.064584,356.2845898,294.8471475,337.3060513,344.6708965,363.2289505,239.8686486,391.0663319,286.9299746,386.8612862,338.9141464,21.01,7.35,2.59,12.09,16.26,4.76
644,12,20.14843941,54.36541557,-60.39616585,-38.25313568,383.2467556,239.8405176,404.1695023,286.722275,409.9926567,342.3066366,379.6019554,238.7445992,372.1020985,292.1318936,330.3254414,332.3823774,25.76,10.72,30.27,3.39,6.87,13.15
738,12,-31.2258625,-5.585031509,-13.97114754,13.08279991,399.4281292,238.144868,404.9321079,287.8629327,376.2526417,333.893373,394.4500065,237.3536271,406.0528564,293.1671083,388.5006809,335.1444626,19.91,22.88,13.22,19.3,3.91,2.62
798,12,-21.97875023,1.554880142,-21.46862984,-6.990308762,415.0416756,234.098686,422.4923801,286.6414869,400.9877014,326.8661892,403.7823486,233.8504475,419.2563057,289.5374036,391.6666889,333.8187647,28.2,21.3,19.31,16.73,6.89,3.21
877,12,-18.18151474,10.93348503,-11.79193497,19.1854763,426.1057091,232.2762859,433.483057,284.1262722,416.8311024,332.3079622,418.3324242,232.1307868,430.7315254,284.7953653,415.8066273,337.1905267,16.65,15.58,9.09,10.99,4.72,4.27
948,12,-31.62998199,-1.390657425,26.55375481,58.75863075,436.088047,234.4106054,427.7660179,286.7335081,412.2637367,338.6268497,431.7767429,234.280073,461.9082355,285.4584074,463.7548828,344.0084016,17.31,4.43,1.03,9.52,15.26,3.88
63,13,-42.71684647,-13.94456863,53.45303535,82.12042809,449.1058731,235.5168718,436.3773823,292.0974863,413.8482857,340.6572068,443.8756084,235.8913618,472.7057076,287.8501225,497.8219986,343.020469,2.97,7.41,14.38,14.61,15.44,4.91
129,13,-57.50264168,-26.21915817,48.17991257,75.56613922,464.1208363,238.4592497,442.5131035,292.6108611,416.0917282,340.0707364,462.180748,239.3911618,492.4689102,289.4614112,510.8969879,343.363899,7.91,4.74,10.9,17.37,15.32,10.4
214,13,-63.13259125,-32.83518791,38.27353477,70.89022636,473.4481144,238.4799778,450.3654385,292.0563197,419.2258358,337.3700309,472.1611118,238.873297,500.0182343,289.4475389,513.8607216,343.2085347,8.97,7.51,8.26,21.12,13.41,12.03
270,13,-65.55682182,-47.30572701,14.16852951,46.63209915,498.7498283,239.244681,488.9677048,292.2767973,444.7019291,326.0335243,498.8419533,239.561879,511.7499733,292.6313317,517.5678635,344.19312,4.16,30.49,3.65,36.41,3.94,7.66
364,13,-39.2365551,-6.431980133,-11.02415085,18.96211624,514.8081207,237.0698547,515.5519295,290.9784579,485.9941292,328.1915009,510.7726479,237.0904702,521.1170769,290.5920911,507.7068329,338.2554173,15.2,24.52,8.98,24.06,3.44,2.19
426,13,-15.81356049,10.23880005,-20.00347137,17.68856049,520.8793831,233.6972719,533.3839989,284.8803699,513.5365105,329.064914,522.0988655,231.7615914,533.3502388,285.5297649,513.4587479,337.5076604,18.86,22.01,12.13,14.17,5.55,6.08
505,13,-13.54156494,14.30311203,-7.582969666,18.89699936,522.3691177,231.254493,523.6018181,286.1876249,516.0778427,336.5445757,529.4975853,229.7529119,550.683918,280.9368467,529.8012543,336.1964786,25.11,5.53,11.99,4.79,12.92,0.15
564,13,-25.31404495,7.098484039,20.94926834,54.86000061,536.9646263,231.5502548,541.9562531,287.6997471,518.1480789,340.7950294,541.0287666,230.2188599,564.995327,277.5210857,566.9003677,333.3409882,14.81,17.02,1.12,14.14,16.56,2.51
652,13,-39.60216522,-7.583942413,42.5122261,71.09973907,551.0900688,233.7988365,540.7188606,292.4632537,518.6263275,343.2714915,557.1441078,233.9475381,578.7329292,279.4747746,599.3216515,331.051594,2.28,8.06,12.67,13.73,15.51,5.83
721,13,6.514892578,35.21621704,-13.9531517,-14.19599533,567.9326248,236.4207977,588.2468033,285.3589511,579.5887184,338.5509539,570.8793068,237.1751529,566.6365814,286.1897492,566.7582893,337.8179705,2.86,18.37,0.07,5.22,1.8,12.3
811,13,22.21853256,51.89186096,-67.39339828,-39.22868729,584.8370934,236.6493863,606.1480522,283.5893691,612.1848679,338.3160567,588.1750488,237.4103558,575.4611778,289.1537082,533.1665039,337.5297081,18.32,10.78,26.18,3.57,7.17,12.08
867,13,-48.86375427,-27.45185852,3.174591064,22.24399567,598.2109451,236.3509691,599.3988991,290.6850457,568.7395477,328.4229863,603.5671234,236.9755,609.3375206,288.355161,604.144249,340.8473647,6.8,25.26,3.17,24.56,4.51,0.98
964,13,-44.13700104,-12.42713928,-5.231266022,12.80593872,605.5878639,235.4841703,615.2752304,287.7747416,571.1569977,324.6587741,612.0620155,234.3716115,618.9270401,288.1248021,604.7708702,340.0512636,12.83,39.88,8.7,33.92,4.49,5.01
21,14,-19.01790619,8.29656601,-20.78315735,11.36644363,627.4611282,233.1039137,646.2896347,285.506655,618.5927582,326.8488407,626.5235138,232.9138523,630.9574699,286.9431067,614.1593742,339.5234048,12.83,32.07,10.17,20.64,4.15,10.24
116,14,-16.19688034,10.90513229,-9.571380615,22.26150513,626.8384552,233.2435709,629.2988777,285.5096805,616.667347,338.1788135,636.9452477,232.9430938,660.0896645,283.7800741,636.5156937,338.0035901,28.11,9.2,13.73,7.67,15.3,1.61
181,14,-28.34489822,-0.041542053,20.65933228,53.09223175,637.9795074,233.7499774,631.35149,287.4130297,616.1787987,339.6319377,649.9124336,233.1546396,674.1074181,283.9056337,675.5065727,340.6054831,14.22,5.31,0.81,9.27,15.57,2.15
259,14,-38.49752426,-9.826984406,38.69304657,68.59193802,650.0013542,237.6753634,637.0100784,289.4187319,618.6661148,339.4468331,662.4307251,238.5595751,686.6053391,286.7430031,702.863102,340.3168344,6.07,3.62,9.71,11.64,16.83,4.95
324,14,-55.60255051,-28.40938568,30.53312302,59.55465317,666.6371727,241.1900175,648.8051605,289.2884731,620.9912109,339.2942691,678.6610222,241.9713289,701.2592697,286.8861365,711.9646454,341.2377548,9.48,5.59,6.34,17.36,16.05,10.8
417,14,-70.37006378,-44.43031311,14.412117,46.11608505,688.5578728,242.2646123,666.7010307,290.8641636,627.4741745,334.3650663,696.5158081,242.363618,714.7520828,290.6789625,716.0037804,344.619205,11.24,12.7,0.77,26.88,10.05,15.08
486,14,-66.31765366,-51.52490616,-2.331161499,30.06717682,704.4553757,241.540947,697.4975395,290.8919406,648.8242149,323.2939374,710.9484673,241.9117999,716.369133,294.8173749,715.6961632,344.5626211,3.73,35.66,0.42,40.19,1.22,6.73
570,14,-41.40117645,-24.20391083,-12.33552933,18.40421677,708.7245369,238.1621683,719.6149635,289.2799759,676.9572258,321.6405165,721.6306686,237.9468888,728.088398,293.2739353,716.513958,344.2133331,11.04,43.39,7.27,36.55,4.59,5.42
638,14,-16.04112625,6.132144928,-26.31597519,5.221252441,716.9692612,235.5100322,730.6639481,283.3218026,709.1077995,323.8255298,733.1823921,235.8004993,735.5165863,289.7779977,714.637928,343.2251108,13.79,25.82,12.38,16.66,4.79,7.71
719,14,7.628574371,33.93619537,-29.45783615,0.585422516,727.8010368,233.4165573,740.2165604,281.103766,740.4981422,329.6287251,744.0929031,234.4627959,739.156723,288.98489,724.2803764,342.1141613,6.04,8.14,8.94,0.2,1.2,6.72
776,14,29.66262817,54.76215363,-44.33069229,-12.01852798,739.6764565,233.9172667,754.217205,279.1067541,771.4485741,329.2466712,754.9343491,234.7472602,743.1643867,288.9937091,719.0002441,342.1161246,7.39,0.68,14.34,10.96,3.17,7.41
882,14,37.19673157,62.18759537,-49.9817276,-17.6651001,743.7413979,234.2146862,764.4841576,276.6022575,782.4621391,329.4064772,761.1327553,234.8261815,746.8864059,291.1570287,718.8190269,342.8067505,8.9,4.55,16.98,10.86,4.41,13.24
934,14,28.89696121,56.59463882,-59.94838715,-27.3049736,756.3726425,235.8079344,774.1393089,277.4376583,788.391037,330.0085902,770.4531097,236.9348001,753.6138153,291.372453,719.2858315,342.4409831,10.84,4.83,20.7,8.69,5.61,10.67
32,15,15.68670273,43.40309143,-67.78684616,-36.04019165,769.4649696,236.3407499,787.2024536,278.0657136,791.0302734,333.5712826,781.2215996,238.188175,767.1016502,294.3016183,725.1228905,339.1626906,19.7,11.23,27.75,2.24,3.68,9.9
