time(in ms), time(in s), hsL, hsL*wid, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
945,37,-13.09998035,-12575.98114,13.69764805,1.736011505,27.97622681,170.8126974,245.2215868,166.7808867,302.6454234,162.8971624,351.0352635,149.3012953,247.3050839,154.2535973,305.4529881,155.5886078,358.7055016,1.93,0.32,0.82,2.57,6.59,3.69
41,38,-13.45413208,-12915.9668,14.08028126,1.046290398,27.58837223,171.4332104,244.5128882,166.9400883,301.006937,163.3799887,351.0089028,149.7048712,246.6642827,154.4946814,304.2417133,155.693078,358.5539353,1.97,0.27,0.73,2.28,6.32,4.57
109,38,-13.51976395,-12978.97339,14.20243263,0.973234177,26.97947502,171.3708544,244.5149642,166.9401312,301.1022091,163.1977701,350.9320414,149.7086048,246.7287201,154.5260096,304.1899896,155.6585741,358.5368121,2.03,0.1,0.69,2.4,6.28,4.51
190,38,-15.00065804,-14400.63171,13.00796986,-0.522208214,25.11105537,172.5225306,245.3802985,167.5255823,301.4578056,162.9486752,350.7104373,151.0257196,247.1709144,155.0985861,304.1781771,155.5984926,358.3735943,2,0.12,0.31,2.98,6.87,4.31
275,38,-17.09575653,-16411.92627,10.8841753,-2.635173798,21.92630768,174.68997,246.8475205,173.1660461,302.667793,163.0353498,350.7039034,152.7345943,248.2517052,156.3690948,304.7808051,155.4530811,358.3714378,2.62,5.89,0.54,6.75,6.85,2.28
344,38,-17.22938061,-16540.20538,8.29220295,-6.048502922,18.9530468,178.1676292,248.2430148,186.9041204,302.0668066,167.3442221,349.767276,155.5140638,249.4539517,156.8763542,305.5063534,154.6735525,358.3541214,2.13,18.21,1.33,12.98,7.62,3.58
423,38,-11.40390873,-10947.75238,17.79069901,-10.93684673,14.09109592,182.0156336,248.9188671,197.4317122,300.518378,177.9108524,348.113662,160.0639486,250.5083334,157.8137112,307.0696521,154.2112684,358.3503878,0.98,22.53,2.25,12.98,9.42,7.75
502,38,7.760982513,7450.543213,41.20827198,-15.79143047,11.27058506,185.9995222,248.8975596,206.5824366,297.4147296,198.3360958,349.5270681,164.1739082,250.6819636,159.2657804,307.0642769,154.1930151,358.4945834,0.37,18.51,3.16,5.07,10.04,11.82
573,38,21.93620682,21058.75854,52.23956108,-22.84096241,5.499200821,193.7920189,249.3645054,215.4343843,297.8188956,220.8095455,352.3507261,171.0468006,251.5683639,161.743927,307.5516772,154.5229626,358.8105583,0.81,10.93,4.52,3.19,11.81,11.14
652,38,37.26695538,35776.27716,69.6669817,-31.86585903,-2.068533897,200.3498697,250.447517,224.128046,299.157114,240.7291889,353.5990155,179.3165159,252.7305704,166.3245392,307.3375726,154.4076061,358.7661409,0.2,5.62,7.41,9.75,13.16,12.56
728,38,35.45315266,34035.02655,67.9861021,-41.74883366,-12.64437675,213.1926298,251.0777771,235.0390005,300.9982145,251.6584969,354.8847377,189.9783039,253.3354515,173.5485935,306.7475939,155.282321,357.0676589,1.72,3.99,11.53,9.86,14.1,11.27
804,38,27.2957468,26203.91693,60.72162151,-48.28159332,-19.4601059,220.0854063,252.3698723,240.967083,301.2489474,252.4402142,356.40481,198.2533407,253.8389128,181.5845633,306.5028477,158.0472279,355.6238043,4.99,6.84,15.07,6.69,14.73,10.82
877,38,16.39496326,15739.16473,49.01497364,-54.25187588,-29.49985027,234.9702215,251.9432724,251.0164833,301.2785912,256.4253902,357.6771426,212.0922232,252.6217318,202.4207354,306.4957988,167.2788334,351.2535203,18.06,7.28,23.82,3.11,10.19,7.29
968,38,2.882766724,2767.456055,36.48934364,-48.23776245,-34.3770647,247.7364635,249.6299314,256.1092186,301.7164242,256.0530567,358.0410433,225.754652,249.8033845,232.4782848,306.5003371,188.3804512,342.6675439,38.26,5.2,34.44,0.01,1.07,2.48
34,39,-7.414827347,-7118.234253,25.72517395,-32.26664543,-12.40427971,258.7084579,246.276049,261.3968468,301.7402744,255.8262348,357.8342128,239.2648745,247.1910471,253.8346195,303.9386129,219.1068363,342.1673656,35.28,4.76,27.06,3.18,2.68,0.45
124,39,-18.20085526,-17472.82104,14.45317268,-8.161239624,23.9048481,266.8091011,244.2161447,271.7191601,300.2932656,256.0679913,351.0644567,253.2928848,246.1760134,266.0752773,297.1876538,254.0561771,353.4705591,14.87,12.66,6.83,9.82,1.52,2.98
206,39,-29.28943634,-28117.85889,-0.404462814,17.71064758,49.76531982,277.5557899,244.8316956,267.1458435,302.8234148,256.2276936,355.4270804,268.0086708,246.6224885,293.2067013,298.454901,292.8292465,359.1989207,15.49,0.89,0.18,6.65,8.25,4.62
272,39,-39.20845985,-37640.12146,-8.725404739,48.89410973,78.14200401,289.837904,246.2336272,271.0962868,303.1222665,258.043642,356.8354332,281.6961193,247.4444675,308.1888199,306.8413532,332.9355812,362.7225065,0.1,2.71,14.01,7.77,7.53,9.19
374,39,-52.12426186,-50039.29138,-23.52590561,51.8080616,82.00655937,305.6634808,250.2299684,280.4133224,304.7087717,261.5826416,356.6757238,297.2276402,252.0815617,324.4075298,310.0319374,350.0789452,364.0670013,0.18,3.09,14.98,11.51,8.16,13.84
426,39,-63.69941711,-61151.44043,-37.20216751,38.11981201,69.93058205,322.952013,249.9503964,299.2372513,304.6303332,268.7346554,351.2853527,313.6267662,252.0159495,340.1400948,310.5191445,355.2882957,367.9814923,5.87,6.48,8.45,20.18,7.91,13.81
535,39,-61.2020874,-58754.00391,-45.38895607,18.34819794,53.16747665,340.0749493,248.6841953,339.1950703,304.9805546,290.1642036,342.2236919,332.316227,250.7489759,346.7895412,310.3331065,356.3867569,368.7474024,2.5,36.02,5.3,36.52,1.43,2.62
602,39,-48.78041267,-46829.19617,-29.98226166,7.139482498,40.58123589,359.3255138,248.6494017,360.9847927,304.9456644,320.9625149,340.5679858,344.0721989,250.5545855,355.8440208,309.8539782,356.5051174,368.038559,6.01,33.24,0.38,32.29,1.54,2.75
706,39,-14.49571609,-13915.88745,9.16934967,-9.383926392,21.42279625,364.4488335,247.9365349,385.6880665,300.841434,359.04459,350.7709157,360.2125454,248.3454484,368.7694073,304.629271,357.8328323,362.3315692,10.97,29.43,6.07,16.7,1.65,9.96
767,39,-21.69957161,-20831.58875,17.30667114,9.428243637,51.18564606,374.0547752,249.907701,379.5816708,307.3043883,358.6774063,363.829819,378.7101173,249.7890776,399.949007,298.0611312,394.7264957,360.0161684,16.62,14.85,2.69,11.73,11.63,1.32
889,39,-51.73238754,-49663.09204,-16.91150665,52.03745842,83.07031631,403.7884712,256.4010394,387.5792027,314.8909736,360.6494522,364.4552994,407.7639198,257.4880421,435.9241962,307.677269,462.1505356,360.5096841,1.91,8.13,15.62,16.98,14.73,10.48
956,39,-68.05552483,-65333.30383,-38.03129196,35.54560661,69.1467762,423.9001179,257.2124612,399.7562599,313.3727682,364.9010181,362.4673319,432.1881008,257.6129419,458.247385,307.4088657,472.0567703,362.0701182,8.31,8.17,8.11,21.76,13.18,16.76
45,40,-67.34719276,-64653.30505,-50.84856033,20.3243351,54.58050728,442.0322227,256.7900133,433.7650681,313.0830252,385.6605434,352.3293221,449.2769337,255.7822376,472.4607182,306.9347262,475.0650501,362.8746521,12.8,29.86,1.52,34.58,11.37,7.26
