time(in ms), time(in s), hsL, hsL*wid, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
638,20,3.318707943,3185.959625,38.2536006,3.710939884,21.04682207,116.7771792,226.5370452,124.0305805,287.9487419,124.7970343,342.1613145,90.04553318,232.5189561,102.0628452,294.5595932,100.5567813,349.1136324,7.11,3.35,0.88,0.48,2.95,1.32
709,20,3.652174473,3506.087494,38.57755423,6.507747173,23.07690382,117.1350074,225.6133729,123.4436131,288.5023177,126.1695099,343.7002802,90.89896917,230.6719333,99.77921247,295.0159979,100.5876517,354.6201324,4,1.64,0.45,1.61,4.94,0.27
775,20,3.746488094,3596.628571,38.42640638,6.817789078,23.81978989,116.9680953,225.6506771,123.2623386,289.0104461,126.1797094,343.5417616,90.90559244,230.7768291,99.94109631,295.0200534,100.7045817,354.4187093,4.11,1.47,0.42,1.74,4.85,0.18
840,20,3.370463848,3235.645294,38.16714048,6.742072105,23.83222818,117.2061896,225.6089151,123.6715508,288.3578324,126.1921692,343.4406638,91.05043888,230.0281227,100.7753849,293.161701,100.7895541,353.4848177,4.94,1.84,0.02,1.49,3.24,1.08
920,20,2.439658642,2342.072296,37.62397528,4.28609848,21.76255703,118.3196282,226.1384958,123.9670658,288.596431,126.1923552,343.7012136,93.21175575,229.4544464,101.9664717,292.9618549,100.8522177,353.5181308,5.03,1.61,0.58,1.32,3.24,0.58
998,20,-1.174507141,-1127.526855,33.5746336,-0.82467556,16.39163017,122.9231358,228.2189834,125.2156734,289.9651301,126.5277672,343.8005733,98.49989176,230.2798694,106.5101337,293.7914622,101.0815001,353.5772252,6.98,0.41,2.91,0.81,3.72,1.01
60,21,-4.34589386,-4172.058105,30.41410446,-6.237645149,12.93530703,126.5642881,229.0193975,127.8877544,290.7931924,127.0280457,344.2037737,104.2409992,231.1821216,112.6350832,294.1844916,102.3763919,354.3862331,9.76,1.21,5.47,0.5,3.77,1.58
131,21,-8.596916199,-8253.039551,26.64204597,-9.273784161,16.13589764,130.3053617,229.3537027,131.2718868,290.8020759,127.0258141,345.3941917,109.3708706,231.4411426,119.6174669,293.5641932,107.5474334,355.7951653,11.53,3.01,6.21,2.49,3.11,1.8
199,21,-11.00233555,-10562.24213,23.8735199,-6.573028564,17.75371313,132.5187206,229.2063528,133.7726068,289.9224508,127.2990131,343.5196817,112.8945565,231.378749,126.3069105,291.7763293,113.0037761,352.5378263,14.14,4.55,7.01,3.87,1.84,1.91
280,21,-12.3304081,-11837.19177,19.83065128,2.027227879,30.74694872,135.1687717,227.6019198,137.9867506,286.8244672,129.618845,339.2684233,116.6295791,230.9222156,133.8983345,289.710052,126.1315155,348.7682712,13.61,6.66,4.22,5.11,0.5,1.15
