time(in ms), time(in s), hsL, hsL*wid, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
686,40,-9.864077568,-9469.514465,20.53598642,11.4540267,39.91935968,116.0657573,232.2289395,113.7736201,288.1735003,112.2266507,336.3052368,93.17082167,234.8953825,104.7250128,291.0198498,109.8719859,347.6790798,3.68,0.28,2.94,1.02,0.56,0.11
756,40,-8.436999321,-8099.519348,22.99624443,10.40728569,40.28178692,115.644021,231.4497364,113.8439298,288.1793261,113.1793642,337.6275551,92.96649456,233.5822052,104.1615057,291.9603717,108.7356734,347.643739,3.51,0.59,2.66,0.42,0.56,0.48
820,40,-8.331942558,-7998.664856,24.30321693,10.82619667,40.29200077,115.6118774,231.4419472,113.9436722,288.2101285,113.3240533,338.0703449,92.95771122,233.5750115,104.3020678,291.9699311,108.9163828,347.7364039,3.57,0.55,2.68,0.38,0.47,0.55
888,40,-8.809318542,-8456.945801,24.09326792,11.07073545,40.43783426,116.0310817,232.077502,114.3035817,288.4014452,113.2924247,338.3599591,92.90743589,234.6147323,104.308548,292.2034764,109.0736103,347.7282929,3.59,0.34,2.78,0.63,0.59,1.36
951,40,-9.122421741,-8757.524872,23.93021107,11.160357,40.50116301,116.2120056,232.3237932,114.3910432,288.4794009,113.1201696,338.2831299,92.86593676,234.9241734,104.2946792,292.2519815,109.1028142,347.7284861,3.61,0.22,2.81,0.8,0.66,1.49
26,41,-10.64369917,-10217.9512,22.4794507,9.738149643,39.13513184,117.7039647,232.3849154,115.0791764,288.6778629,113.101759,337.8233457,94.10875797,236.2525266,104.6601892,293.4494805,108.8161182,347.7600288,3.46,0.21,2.48,1.28,1.88,0.78
98,41,-14.42882538,-13851.67236,17.99371719,7.241435051,36.54409647,122.5021362,232.2298408,126.8463564,287.7567816,114.8184657,337.7286851,96.90169573,236.4492345,108.0897546,293.9037931,109.7790599,347.7346337,5.24,10.23,1.03,7.69,2.64,3.61
166,41,-12.0458293,-11563.99612,18.37336063,4.332203865,33.14487219,124.3785954,232.4875742,136.2942266,286.4993834,119.39641,336.7998791,98.90654325,237.621274,107.6768088,294.4179404,109.436667,347.4374557,3.89,17.77,1.08,10.69,4.47,7.63
233,41,-5.870976448,-5636.13739,25.26434898,1.513831615,29.81155872,127.0596743,231.8354756,149.7074604,283.0920553,128.7798929,332.146225,100.6654215,237.501331,107.5574541,293.9996767,107.2522759,346.996243,4.11,27.45,0.17,13.48,5.07,14.54
301,41,11.22609615,10777.05231,44.46629047,-3.921511173,26.39306545,131.8309307,231.7977369,157.9276514,281.1891568,148.4258366,332.5500047,105.1864243,237.4602127,108.4976149,294.9221742,107.3324704,347.7311254,2.57,22.49,0.69,5.92,6.49,16.98
368,41,30.4027462,29186.63635,62.90267944,-10.90809345,21.43207312,138.9452505,233.5339093,166.3044119,281.344167,172.2438526,336.5382028,112.4090266,238.8181615,110.4645538,297.4441803,107.3855209,349.7082782,0.83,14.38,1.88,3.48,8.51,18.26
438,41,37.56138325,36058.92792,67.80200958,-15.47533751,16.62149191,144.0715599,235.2236366,170.1782227,281.7219079,184.1856909,337.8470027,117.2127557,240.042842,112.6725698,298.0244386,107.4389434,349.9792886,0.72,9.54,3.23,8.01,10,17.55
506,41,51.59852028,49534.57947,83.01120758,-25.71869373,5.799736977,153.2775021,238.7513101,178.9914179,286.1770356,204.7874451,337.7126563,127.9929256,242.3175108,117.3050952,298.0100191,108.4839249,350.0964153,0.72,1.24,5.42,15.75,12.01,16.66
574,41,50.22806168,48218.93921,80.5399847,-37.56578922,-6.430106163,164.763236,240.1401901,191.7251015,287.6637626,215.1816702,339.2563856,140.4030704,243.4089714,127.1013165,297.9965329,110.8554196,349.6986544,2.22,3.35,10.01,14.37,12.5,17.14
639,41,44.06972408,42306.93512,74.95144844,-46.54636145,-14.89332676,173.8973236,239.8196125,198.9408445,287.9343224,220.1330853,341.6446888,149.9225664,243.2506782,135.9510326,297.2341955,111.7105222,346.4673221,7.2,3.81,15.46,12.53,13.5,14.3
710,41,27.57875919,26475.60883,59.25965309,-55.6070137,-28.37674141,190.3642845,239.7233105,208.8102293,288.1572783,221.7560291,342.494123,166.6579342,242.3599648,158.8143396,297.4378717,121.5895414,339.9028194,21.67,4.46,26.24,7.65,9.92,10.65
784,41,12.70829201,12199.96033,44.69425678,-50.24551392,-33.55630875,206.0483694,236.4984798,214.5622873,289.195776,223.2427454,343.5438538,184.1964483,238.7295038,190.1831532,296.7898285,146.385498,329.5537627,40.26,0.06,36.94,5.15,2.95,3.57
864,41,5.449032784,5231.071472,37.93484688,-40.98843098,-20.72492123,213.9899254,235.5641055,218.7650013,291.2294161,223.8088417,344.1756105,192.6804113,237.9058993,204.9310255,295.7342076,164.4551754,327.5174832,42.41,0.3,35.61,3.09,0.75,1.58
942,41,-32.49462605,-31194.841,-4.189109802,5.257673264,33.72419357,226.3241673,233.6430538,228.7700987,289.8826361,207.2803402,336.9112766,207.2185993,236.3351655,226.9917727,292.1551967,215.4837942,339.6952164,19.02,15.82,7.74,14.41,3.24,1.02
16,42,-20.46515465,-19646.54846,7.866840363,14.50710297,49.81091022,234.4791412,230.6362545,228.6716509,287.3279929,221.0975504,337.046138,218.9432001,232.951076,251.3879871,283.091476,242.9762077,340.5176783,24.71,1.6,4.69,4.88,12.56,0.97
83,42,-33.40129852,-32065.24658,0.184907913,53.85623932,88.24547768,250.7256031,231.5256643,234.9687338,288.9233494,224.2057514,341.6695368,235.2397728,233.8902462,270.9391594,284.9335098,292.9943275,349.0955758,10.53,2.23,10.96,6.53,13.45,6.42
149,42,-50.04963398,-48047.64862,-18.74599457,64.29491043,94.96124268,268.4283257,233.8989526,246.1914539,290.7027483,225.7937622,343.6155975,253.4452915,235.6734753,287.7296162,292.1150923,317.6557732,350.1934254,2.7,0.18,16.18,12.22,10.43,10.83
230,42,-67.54062653,-64839.00146,-36.92925453,51.16724968,86.09192848,288.9023495,234.3912935,268.7462139,290.9744024,233.5410261,338.3430612,272.2344589,236.3539463,303.7712002,292.7735639,326.7901897,351.9669342,5.12,11.36,12.36,22.68,8.58,11.93
293,42,-64.98915195,-62389.58588,-39.57756042,42.66766548,77.77542114,295.745573,234.3534905,285.0143623,293.5625196,243.0829525,331.7157304,281.4830589,236.7206311,310.6373978,291.314292,328.6343193,352.8120232,7.37,25.9,9.37,31.72,8.45,6.5
365,42,-52.54869461,-50446.74683,-29.67378616,23.10416222,58.91212463,315.0885487,232.3913366,318.2563877,291.347605,273.4056759,322.0117557,299.6114159,236.4251751,319.2838955,292.922684,329.023447,353.2266819,5.89,41.18,5.21,39.44,3.22,1.96
446,42,-37.06074715,-35578.31726,-15.14505386,10.67067146,43.92399788,331.0286236,232.6058435,347.9570675,289.0045881,307.3402977,326.2161505,314.8871899,236.2173307,333.0886745,293.8116431,329.7830772,353.0157316,11.88,41.13,1.78,31.54,4.16,4.31
513,42,-5.910272598,-5673.861694,20.374403,-7.858285904,24.65643883,343.8895798,232.634232,373.3494759,282.1141326,346.674099,329.4604862,329.9556255,235.1996899,333.3266258,294.1074693,328.986454,350.2476919,4.33,36.1,2.47,17.57,2.49,12.88
595,42,-21.24721527,-20397.32666,12.37566948,19.70023155,54.20674324,347.4876595,232.683574,351.2977695,290.19153,332.219696,348.345083,349.2853832,234.0520477,382.3456478,279.2563248,375.7067871,345.4747546,25.59,12.59,3.21,10.44,18.52,0.51
679,42,-32.80099869,-31488.95874,0.472011566,45.07235527,74.78273392,357.1649837,235.2681506,345.3359699,291.5563989,331.8306255,349.2925894,365.8322811,235.3561485,393.2511234,280.7169807,412.2850513,342.2441626,8.91,0.75,9.89,7.48,13.67,9.3
762,42,-48.71555328,-46766.93115,-16.12132072,50.26991844,79.9495697,373.9733791,235.8512414,358.4067822,292.4442959,334.4401932,347.5907278,381.3612556,237.2409582,407.7963352,287.2626865,433.0256939,343.2024837,2.32,4.94,14.25,13.72,12.34,10.25
813,42,25.74480057,24715.00854,57.24692345,-61.47059441,-37.57613182,407.3823738,234.2824388,428.6526489,292.3251414,437.9433632,346.5416408,407.2471333,234.8910213,409.2038155,297.4062645,360.4836845,339.0833509,34.34,6.14,33.32,5.52,2.49,8.18
904,42,15.96942902,15330.65186,49.79272842,-59.80336189,-41.3467598,420.9332371,234.1492993,435.7050705,291.5725243,441.6200352,346.705277,418.5333538,234.6335292,429.2497444,296.4847648,368.8397598,332.6263511,48.8,4.78,43.23,3.47,0.94,3.93
957,42,-16.36734009,-15712.64648,12.13863373,-38.02030563,-14.64240074,440.9047508,233.0540085,451.0546589,291.8333316,432.8011036,340.9187543,432.5620365,233.9999056,450.648365,295.9842968,408.720789,331.7690635,42.71,17.36,33.38,11.8,4.98,0.87
