time(in ms), time(in s), hsL, hsL*wid, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
337,6,2.938671112,2821.124268,30.3552103,6.618833542,22.06276417,126.0608339,270.7298291,128.4984112,326.4601243,133.4041071,375.9827042,106.7580843,271.6970336,108.7286139,331.1576486,117.0513082,385.1576936,3.89,1.78,4.96,3.2,3.71,3.89
409,6,3.169298172,3042.526245,30.49919128,8.7317276,21.36177778,125.5508137,273.0667949,127.4495888,330.1045382,132.8073978,379.3100488,106.3950133,274.4876361,109.2633533,333.3109581,116.7811275,387.2177267,2.91,2.43,4.49,3.52,3.27,3.54
477,6,3.652153015,3506.066895,32.01478958,9.211134911,22.708776,125.0652122,273.5003793,127.2413492,330.1218545,132.8035784,379.733237,106.3726115,274.9190962,109.3574166,333.1025827,116.875906,386.5417778,2.87,2.37,4.53,3.62,3,3.59
543,6,3.508286476,3367.955017,32.1784687,9.001235962,23.1922102,125.2215815,273.4998322,127.3659611,330.0207245,132.8023624,379.9821353,106.6200399,274.8105955,109.7167969,332.5402522,116.8776011,386.3644302,2.55,2.28,4.29,3.52,2.36,3.91
632,6,2.151918411,2065.841675,30.84922314,7.233366966,21.78097486,126.5337467,273.1819904,128.189292,328.9232934,132.7587748,379.9620187,108.007915,274.4563508,110.9089994,331.908946,116.7085719,386.1095452,1.82,1.93,3.45,2.9,1.89,4.11
686,6,-0.002331734,-2.238464355,28.28232765,5.44113636,19.84636545,128.4557104,272.9645383,129.7201538,328.6958957,132.5431252,379.7674513,109.8050666,274.1118908,111.4832425,331.9310904,117.0633388,386.0357738,2.38,1.05,3.33,1.8,2.6,3.51
778,6,-4.124321938,-3959.34906,20.22524357,0.324554443,14.93272305,132.0673227,272.7428699,131.7815638,328.1431246,132.474432,378.7825441,114.6310043,273.3507764,114.3383718,331.0147083,117.4818206,385.8919966,2.01,0.61,1.85,0.45,3.88,2
832,6,-8.208818436,-7880.465698,16.60207272,-3.954055309,10.99524021,136.2391949,272.938081,135.1521778,328.1517184,132.7387047,378.5057402,118.9374447,273.4589231,119.592948,331.1768639,118.3879781,385.8709145,1.08,0.91,0.7,1.53,3.59,1.63
929,6,-10.65097332,-10224.93439,13.94076347,0.043416023,15.35920143,139.6014977,273.4245157,139.5790672,328.1475985,133.6028481,377.8921044,122.2127581,273.7915063,130.2996111,330.9956539,126.6341686,384.7852314,6.74,3.85,2.19,3.85,1.07,3.52
974,6,-8.000149727,-7680.143738,11.91151142,5.494637489,24.46070194,142.636385,273.5054326,144.2120504,326.867702,138.3886528,378.0013776,126.6077042,273.9936697,139.5235777,328.3286476,135.1844501,383.8066328,10.14,4.62,2.51,3.65,4.46,5.83
76,7,-13.23585033,-12706.41632,6.338210106,17.51472473,37.2589016,146.531353,273.4886634,146.1767149,325.208391,137.3119497,371.7730308,130.0964642,273.9387918,147.5520515,325.1173353,151.5938759,381.6283464,8.56,5.89,2.31,6.1,7.59,4.86
120,7,-20.26468277,-19454.09546,6.5493536,36.89357758,59.37839985,152.4928951,273.5014737,150.1332235,326.0504222,137.2101116,377.3887396,135.2624702,273.94539,155.6876564,324.4694209,172.181325,381.6099358,3.59,6.61,9.24,8.04,10.24,4.73
225,7,-29.33036327,-28157.14874,-2.654714584,46.37299061,63.43664646,161.0515451,273.7573886,152.3180866,326.661483,135.85958,379.2015481,144.6897984,274.2451751,172.7333164,324.979223,191.3514519,382.0839143,6.88,4.69,10.4,9.98,14.14,0.78
264,7,-37.24847317,-35758.53424,-10.722785,46.25789165,68.2722044,168.8817072,274.4638824,157.4828482,326.5900934,136.0707378,378.5693729,153.7797546,274.6441591,178.5995722,325.5753493,201.5947723,383.8752222,2.82,6.03,12.52,13.03,12.27,0.45
368,7,-47.69604206,-45788.20038,-22.73806572,37.95807838,59.02031422,180.9305048,276.1150503,170.5986929,327.6141071,140.1343632,374.6192515,165.3730202,276.0743022,186.9730568,328.5576546,205.6096315,386.372509,2.76,13.59,10.29,20.02,9.93,1.7
410,7,-46.93419456,-45056.82678,-30.20565033,26.98748589,48.07239532,191.3403511,277.182194,189.6264553,330.1581287,153.4474897,365.878973,176.9262171,277.9045558,194.7799873,332.840842,205.8098745,388.2148325,3.97,28.63,6.41,29.67,6.49,2.89
517,7,-29.2110157,-28042.57507,-9.576044083,14.52057838,35.79374313,203.2490301,276.977005,214.3893385,328.8909459,181.9294167,362.0339727,188.712616,278.196584,204.9789906,334.2742038,205.9942532,389.1031802,8.67,35.73,0.61,28.84,5.33,9.24
559,7,-22.85644054,-21942.18292,-0.457291603,6.376476288,24.87799644,210.4472208,276.7817616,225.7480717,326.6883266,196.5129519,362.6864898,195.5532217,277.9659998,204.6787548,334.0643799,205.0727606,385.8090842,4.98,34.34,0.26,24.54,0.76,10.72
680,7,-11.29879475,-10846.84296,8.764014244,11.86467648,42.02879906,214.4371462,277.6283956,208.4636021,331.1022556,207.8643751,388.0641997,211.7537498,277.797761,242.7138233,323.8752902,231.325078,376.821034,27.6,3.26,6.88,0.33,15.72,0.97
731,7,-22.11270332,-21228.19519,-1.464099884,47.9386282,68.43433857,225.3697443,279.4774139,212.2425556,335.0976956,207.931509,387.9340053,221.7541265,279.4570076,257.8906918,324.8300385,269.7254562,376.9394159,16.85,4.93,7.29,2.62,20.58,4.96
848,7,40.37326813,38758.3374,63.67841721,-33.91965866,-13.08161259,252.840271,281.1879337,278.2405186,332.1098542,294.766016,382.1692729,242.2789478,283.0467045,235.0226927,337.5364029,213.1633329,384.0480638,10.52,5.15,14.8,10.53,7.32,14.92
898,7,26.4234066,25366.47034,53.93703461,-51.23926163,-29.37694073,271.8591213,280.9916925,292.0729923,330.0443172,301.067934,381.9451582,259.0086079,282.8767598,252.0518017,338.1874716,215.6097221,381.6585052,21.2,7.48,25.24,5.58,7.44,11.02
981,7,-48.15814018,-46231.81458,-31.33469582,18.7930584,46.14606857,284.3447685,278.8596261,287.9218197,331.1073411,249.3964005,368.1422639,278.2194901,280.5775166,293.5204411,337.4952042,299.6823692,383.2366097,4.27,32.54,4.35,30.33,3.46,1.05
30,8,1.415348053,1358.734131,25.22063255,-19.85604286,12.59264946,293.7643433,277.0847011,299.424963,331.189127,293.1122017,374.4742513,284.7794437,278.7087679,296.981535,336.6028655,266.4715576,368.4583676,35.07,8.06,28.29,4.67,1.27,1.13
124,8,-13.63188744,-13086.61194,11.49564743,-11.14494324,9.875078201,305.8532524,273.6327624,315.4079247,327.4346352,299.1379452,374.6615124,296.2387562,275.2432787,315.5764103,327.7643216,294.6581841,373.4285438,26.15,16.67,14.44,10.96,7.49,6.42
178,8,-20.36699295,-19552.31323,2.691249847,22.04515457,45.46351433,315.9353256,274.2004037,313.3600903,327.2407758,299.731636,379.0153813,310.9916496,275.6370807,336.0194206,328.3260083,338.3440876,382.4594986,13.58,6.86,1.4,8.41,11.2,1.43
276,8,-25.00599861,-24005.75867,-1.792058945,40.22123337,59.85099792,323.260231,276.7151034,315.103054,328.4604192,302.2331715,380.8377171,317.0800495,277.2538412,344.8449612,329.6835709,359.0675068,385.2830601,8.4,2.8,8.2,7.86,13.5,2.68
