time(in ms), time(in s), hsL, hsL*wid, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
692,51,1.036276817,994.8257446,29.08575296,-0.6539011,27.92136669,107.767961,237.9167944,111.9473147,297.8880966,113.4784484,347.518115,84.43493843,241.7291093,87.90292025,302.4812722,88.63074303,361.0461688,1.44,1.25,0.42,1.01,7.72,0.62
763,51,2.112779617,2028.268433,31.71721458,1.429767609,29.32520628,107.604146,238.2284081,112.721808,297.3060358,114.9717164,347.9065096,83.90937567,242.1661538,87.4919486,303.3959484,89.59082365,359.6895397,0.68,1.36,1.22,1.45,7.67,0.23
834,51,2.154636383,2068.450928,31.78352594,1.476795673,29.21825409,107.5478339,238.2299048,112.7278161,297.0645726,114.9815869,347.776283,83.8740778,242.1367997,87.48706341,303.3671415,89.58304882,359.5780134,0.7,1.4,1.22,1.45,7.62,0.28
905,51,2.16698885,2080.309296,31.76238298,1.510198116,29.17469501,107.492888,238.2311761,112.7320147,297.0093405,114.9753571,347.7664983,83.86979342,242.1331626,87.47797251,303.4501505,89.58121777,359.5710611,0.69,1.45,1.22,1.44,7.46,0.32
969,51,2.166516781,2079.85611,31.75872803,1.624116898,29.08007383,107.4911785,238.3826137,112.802496,296.9924426,114.9927664,347.76299,83.8665247,242.1690023,87.45412588,303.531872,89.58279848,359.562757,0.66,1.53,1.24,1.41,7.42,0.4
67,52,2.12086916,2036.034393,31.7407608,1.674306393,28.9983201,107.5397587,239.3045157,113.1452823,297.0957291,115.0222421,347.8427482,83.86837721,242.8109783,87.448318,303.9380658,89.58699703,359.6396184,0.65,1.93,1.25,1.21,7.1,0.78
106,52,1.680915356,1613.678741,31.51383877,1.437785625,28.73951197,107.8517246,239.7336906,113.8635349,297.15801,114.9883747,347.9888427,84.11135674,242.9027259,87.5503993,304.0521026,89.59000111,359.7084332,0.63,2.66,1.2,0.73,6.68,1.5
217,52,-0.273942947,-262.9852295,29.64026213,-0.620684624,26.66920424,109.5540833,240.0565213,114.709053,297.3276651,114.9038529,348.0379272,86.17722273,242.6884604,89.26844358,303.6742973,89.61680174,359.6952689,1.43,2.77,0.22,0.14,6.25,1.72
264,52,-3.626976013,-3481.896973,26.40293598,-4.71585989,22.22196579,113.2031536,240.7184207,115.6433272,297.6343381,114.9107337,348.2462382,90.2733922,242.7406508,91.98948383,303.6611331,89.61364031,360.1661253,2.26,1.85,1.34,0.45,6.92,0.05
386,52,-7.777347565,-7466.253662,22.04866648,-9.906671047,16.76753998,117.4040294,240.8957845,118.6634803,298.3297598,114.9983883,348.4951365,95.36946058,242.6335663,99.16771889,303.6782241,90.32571316,359.6101356,7.09,3.06,5.07,2.34,5.5,0.52
433,52,-12.47968912,-11980.50156,17.96809673,-10.91456652,14.4543457,121.8401241,240.8830708,122.3341084,298.6643064,115.0021577,349.0810275,101.3510084,242.5393403,111.0889721,302.9561841,97.1867609,357.780751,13.3,4.95,8.11,4.66,2.84,0.86
546,52,-15.52482605,-14903.83301,14.47972298,-0.810785294,25.52486658,125.5911684,239.154591,127.7456045,296.1261106,117.0662642,343.0883181,106.9524121,241.92527,123.7915134,300.3342068,112.3850226,353.4188998,16.1,8.51,6.88,7.27,1.3,0.81
593,52,-19.23689604,-18467.4202,9.573140144,9.436197281,34.7193718,129.863677,238.3415759,127.0083475,296.0183179,119.59553,344.0979123,112.3023462,240.8978444,134.5912457,296.9831085,127.4247265,350.0173008,16.95,3.36,4.33,4.94,4.31,1.39
693,52,-25.71802855,-24689.3074,1.943850517,34.68928814,61.74489498,134.2721128,238.0405998,126.0773993,297.0214748,118.3727646,346.3623941,117.581706,240.8414537,144.1508961,296.7252302,157.4692869,354.8923659,7.63,0.55,7.35,5.01,7.77,3.62
735,52,-32.06108809,-30778.64456,-2.508459091,48.39288712,75.4139328,140.6491613,238.946811,129.0151691,298.8374376,117.9788947,349.5297718,124.7916842,241.2392467,147.5741673,296.9776368,175.9911489,355.5200672,2.32,0.75,15.29,6.97,5.95,5.1
836,52,-38.21875334,-36690.0032,-8.842892647,51.60338402,77.20752239,147.34128,240.0636828,134.3921041,299.0592992,117.8289914,349.4771147,132.5758123,241.7694068,154.7416449,295.9345686,185.1437616,355.567317,3.04,3.43,16.02,10.46,6.56,4.99
881,52,-42.76526213,-41054.65164,-12.16315269,48.27418327,76.73117638,152.1247673,240.8101201,138.6941528,299.0894902,118.3040714,349.4561291,136.7401314,242.3107195,161.3766575,295.983814,188.358264,356.0625708,0.3,5.44,14.19,12.81,8.4,5.31
997,52,-49.38551903,-47410.09827,-22.17726231,36.71539307,66.92479134,163.0804968,238.8018751,150.7676125,297.3785198,124.6145153,344.4648707,147.9976845,240.9960455,168.0958128,296.1926723,190.7797337,357.0279408,0.27,10.61,11.86,17.34,4.56,5.23
38,53,-50.5514431,-48529.38538,-29.99836922,28.1744957,57.21652508,175.2142954,238.1607038,168.9948606,297.62568,136.2474918,337.8755844,159.5956135,240.570218,174.8426199,299.3756282,191.2900257,357.8441584,0.69,21.22,9.01,24.59,0.35,3.09
151,53,-38.27681065,-36745.73822,-19.35028553,17.22680569,46.17749691,192.5800896,238.1167853,202.8525209,295.4754925,165.5860376,332.935921,173.2317495,240.6012297,184.8349714,299.7020638,193.7828207,359.0113378,1.45,34.98,4.87,29.23,0.51,3.66
192,53,-27.18551159,-26098.09113,-4.882736206,8.337221146,35.78440189,198.1155682,238.4622753,211.4451027,294.3927062,182.1168995,333.8904119,179.4270658,241.2528294,186.0267735,300.7349288,192.0603418,357.4968338,0.15,30.3,3.44,22.66,3.62,5.06
317,53,-0.661754608,-635.2844238,27.75409698,4.522304535,31.2163496,206.3149881,237.8285873,229.8184633,291.4359891,213.080492,339.667536,185.305109,240.6180954,192.0815992,300.4917598,193.9188194,356.842643,2.59,24.9,1.07,11.03,1.03,12.26
363,53,25.65083027,24624.79706,56.22226238,-7.173156738,22.9782629,217.4896288,238.6019647,242.4976158,290.0932968,246.6536522,345.0057971,196.5664387,240.8888644,197.5420904,301.6282654,193.7037563,357.9288411,2.71,12.84,2.18,2.46,3.43,13.42
466,53,48.22714806,46298.06213,78.23490143,-30.07049561,0.05979538,237.1820354,242.2321361,259.6050167,292.9462123,285.3499317,346.947577,219.0461683,244.6630865,212.9370546,302.2996759,195.6070089,357.91587,6.53,1.05,9.93,15.03,6.79,11.98
507,53,46.05760574,44215.30151,76.552248,-37.41482735,-6.78185463,244.0625668,243.0802345,270.4794216,293.2672727,291.3131618,348.9797044,226.4404964,245.4547942,218.0172586,303.6990809,197.5822163,357.5916553,7.39,4.61,12.03,11.9,7.79,14.61
598,53,23.1776619,22250.55542,58.23102951,-53.28776836,-31.19520664,269.5292759,242.956751,288.2110977,295.3940606,297.2639751,352.8885305,253.4407997,245.1309818,253.8386822,305.1841986,211.768198,348.1405377,29.06,6.27,28.84,5.08,3.98,8.39
640,53,18.48695755,17747.47925,53.28537941,-48.44527245,-35.94547749,275.1629162,242.8937942,291.1639309,297.7959144,298.5635662,354.0159273,260.239048,244.9658328,269.4272518,305.3437793,221.3590193,342.4801862,40.95,5.08,36.06,4.25,0.86,6.99
732,53,-42.51677513,-40816.10413,-22.54963875,-0.685071945,21.73238754,289.6297359,238.5292071,299.2193413,297.8410077,258.3984375,338.5570371,281.6296864,239.894945,301.1741066,300.3549671,293.686924,346.5619826,15.51,34.62,5.2,29.42,4.22,2.67
779,53,-26.9030571,-25826.93481,18.0728817,-25.20684242,-3.230237961,297.9689026,238.067041,308.2499313,297.5765955,284.0469933,339.0127337,288.2777596,239.650231,310.414753,298.8772523,276.5648746,340.8140194,36.29,23.74,24.41,18.17,4.99,2.68
871,53,-11.48989677,-11030.3009,18.64508629,-3.40713501,23.77882004,307.6817036,237.838195,311.9328403,299.3176925,305.0507641,351.7207396,300.0036907,239.4135797,328.4364223,295.2883601,306.2644958,350.374893,28.73,6.45,12.75,4.21,10.32,1.14
923,53,-22.57624626,-21673.19641,7.088012695,15.28298378,44.52392578,313.7998009,237.9399204,310.1198101,299.1620064,301.1393452,353.394438,308.5092258,239.5145166,334.1521168,295.6764972,332.8061485,354.0517187,15.15,3.38,0.73,5.31,8.04,2.39
14,54,-31.82590485,-30552.86865,2.103052139,48.20331573,76.90761566,324.4680977,240.9515315,314.3285751,300.4232025,300.3441238,355.4432058,322.0799446,241.964795,348.5406303,299.2994106,372.3075771,358.80808,1.89,2.66,12.68,8.12,10.15,4.92
61,54,-43.03653717,-41315.07568,-9.702987671,51.69104576,82.69105911,337.1987057,243.605454,323.2825756,302.2268379,302.4180794,355.0391686,339.0945911,244.8359442,366.5085125,301.1671615,392.1348095,359.3653572,1.4,4.92,13.93,12.51,11.68,6.97
145,54,-58.16782951,-55841.11633,-27.38963127,37.40916252,72.99118996,356.4394569,243.5491759,341.239872,301.7733622,308.9586926,350.5117822,357.6654911,244.3721849,381.2268734,300.0497425,399.4779396,362.1996367,4.01,12.08,9.4,20.42,8.77,9.14
194,54,-64.96195793,-62363.47961,-38.04894447,30.26124001,64.85246658,367.9349613,243.4410292,353.2685566,301.8284655,314.3401051,344.7431552,365.0856113,244.1776013,387.2024059,301.0540903,400.1610088,363.5992348,5.69,18.99,6.67,27.02,7.14,10.17
292,54,-58.51839066,-56177.65503,-42.0938015,12.93331146,48.79343033,385.3962421,241.9434553,389.4924545,301.8340981,338.5788631,336.3102257,381.7281532,242.2348398,394.1794109,301.6647005,401.1112404,363.9401543,3.14,41.92,3.6,39.71,2.37,2.37
330,54,-41.6938591,-40026.10474,-20.59321404,2.573604584,37.68699646,397.9540157,240.3769863,405.4767036,301.5633774,366.9022179,335.9051907,393.4559155,240.6378418,405.4600811,302.1345592,402.3388481,364.3352759,7.88,36.24,1.6,32.28,3,0.61
459,54,-25.82679749,-24793.72559,-11.74023628,-6.072006226,27.01435089,403.6144638,240.0166744,415.9000111,298.447305,386.4341068,337.3932374,401.4376545,239.9383163,408.8731384,302.012862,401.0919857,360.3795862,8.14,29.8,4.27,23.05,0.91,2.86
500,54,14.57662582,13993.56079,47.30014801,-24.25930023,10.75192451,428.2841778,240.3214645,452.7814865,294.8682618,447.6777649,346.6537142,419.2255211,240.5501014,413.9795208,303.9053321,401.9585609,362.3826814,3.93,17.35,6.58,3.15,4.19,9.31
618,54,18.32273483,17589.82544,50.03056526,-46.26271248,-12.28094101,442.8922749,241.1652499,458.0039978,301.1045265,466.1794567,357.8024769,442.7513123,241.4173508,430.6051826,303.7745583,405.4716969,361.9091213,7.42,3.43,13.65,4.65,6.77,6.88
659,54,51.45120621,49393.15796,83.23036194,-57.09028244,-21.28380775,454.0630531,241.6151208,480.9823608,295.8474076,505.6807137,355.0768268,452.6920795,241.94978,435.7927608,304.3695903,405.9272289,361.4505279,7.74,2.4,16.38,13.22,8.45,13.43
773,54,33.90335083,32547.2168,66.13666534,-70.53062439,-38.84033203,475.2528191,242.8910583,495.716114,295.4651284,511.6062355,354.0322781,472.7892494,243.340736,456.6551685,306.2431991,415.0347519,357.4466228,16.36,3.67,24.56,8.7,9.37,9.61
812,54,21.11984253,20275.04883,51.29184723,-64.30340767,-52.27978706,489.5341301,241.3300449,504.8653793,296.2713039,514.9328613,354.7348773,488.9306259,241.857115,491.5717506,306.1121678,436.212244,348.0639982,37.91,3.39,36.59,5.55,1.19,7.2
936,54,-38.35504532,-36820.84351,-17.50190735,1.420955658,35.42404175,505.3517532,239.4154465,520.2749062,298.4075224,484.6502495,343.4757471,506.9561005,239.1644239,522.6117897,302.1923018,515.8785439,353.1409049,12.21,32.07,4.23,23.97,7.8,6.18
987,54,-18.39540482,-17659.58862,11.74793243,-18.62588882,17.69393921,521.5413094,238.39993,534.5247459,298.3416367,511.8192673,345.7466984,522.3968697,238.1302232,538.2117462,298.2003379,513.9559937,353.3898354,22.31,22.03,13.87,15.06,7.58,3.53
73,55,-5.612468719,-5387.969971,28.71934891,-22.32301712,10.00631332,537.2610855,237.6581758,552.7596474,295.1503444,548.6632347,353.9067829,538.8961601,238.3182245,539.2159081,298.1097007,524.6824837,353.6144328,8.55,10.87,8.36,2.23,1.08,6.31
134,55,-33.60923767,-32264.86816,-2.573890686,43.48749161,75.64527512,547.9467773,237.6043439,539.1291046,295.3494501,524.7132683,355.3594887,551.7835808,238.4080732,576.8314362,295.8750558,597.4478531,354.4486105,2.58,2.79,11.22,7.68,14.84,4.88
229,55,-42.4448204,-40747.02759,-13.15195084,51.70389175,84.60268021,555.4031181,237.6655787,549.7830391,298.0871058,521.4424324,356.661948,557.9950905,238.4985977,585.4525566,296.1110151,610.918808,356.3737178,1.64,12.23,13.39,15.21,17.66,2.11
282,55,-56.50257111,-54242.46826,-26.18099213,36.32720947,70.17385483,570.1741791,239.4414854,555.4764748,298.0836296,523.5035133,356.3389564,580.822506,241.6042417,606.0642815,296.9952428,620.567894,358.3286941,6.8,9.13,7.6,17.14,14.8,6.78
376,55,-68.15042496,-65424.40796,-44.46990967,18.49473953,53.76886368,591.8613052,240.7809269,580.8808136,298.3629763,536.6950035,344.8732853,602.9474831,242.6303959,620.7447052,302.084831,626.8593407,359.6015418,6.14,22,3.44,28.11,8.83,7.38
426,55,5.85319519,5619.067383,39.36286926,-61.88896179,-51.11051559,610.6740761,237.7942121,621.9965172,298.3258009,623.4028244,358.2751679,614.6240616,239.5469445,618.1685829,301.7735875,564.9267769,337.4341464,41.86,5.25,40.03,0.77,2.91,4.2
530,55,-41.6063118,-39942.05933,-19.99391556,-11.8135643,24.91996765,624.1912079,234.0954512,634.4237137,294.1426492,594.8501587,335.5924666,629.2136765,235.5824357,637.1806526,297.5481105,625.6638908,355.7646203,10.49,33.71,6.33,28.23,5.89,3.91
584,55,-19.55217361,-18770.08667,7.49256134,-27.03861237,6.99640274,637.8611183,234.4041198,644.3106651,294.1600621,627.0365524,344.1243052,645.9832764,235.8775216,644.4743156,299.2236435,626.580162,358.038758,8.94,14.48,9.69,10.99,2.42,0.35
678,55,-12.29496002,-11803.16162,17.45710373,-33.59167099,1.60943985,648.1449509,233.6227602,649.5092583,293.9476633,644.8140335,344.7502685,654.5162201,234.6382123,649.3668365,299.2264116,630.53936,357.8787267,7.67,3.7,10.22,2.96,0.17,2.3
745,55,25.84945679,24815.47852,51.07973099,-45.64058304,-10.73135376,660.8575058,233.8521534,678.0805206,290.585686,689.0504265,344.5461094,666.3708115,234.9051511,653.0929756,299.5653677,629.1720772,358.5247743,6.27,3.17,12.84,6.54,2.31,6.66
822,55,37.5752449,36072.23511,64.87472534,-59.03463364,-24.89982605,673.9449692,235.7153177,691.528244,290.5984318,712.8367424,344.6972251,680.4824066,236.8736941,663.5569954,301.9576299,631.2521553,358.1713986,9.59,2.28,17.9,12.51,4.04,6.17
886,55,31.106987,29862.70752,59.06518936,-73.30718994,-38.30257416,687.6140785,235.6856418,706.3549805,291.518966,720.8398819,348.8844323,695.8630371,238.4080571,676.5776825,303.9493954,635.9351921,355.7536125,14.41,2.61,23.8,8.1,4.37,6.7
971,55,20.55976868,19737.37793,48.13962936,-72.28099823,-49.22739029,700.3612518,235.7176673,717.34869,291.4797628,726.1212158,348.8661826,713.4563255,238.3857358,707.667675,303.702879,655.2103043,347.8269768,30.92,4.81,33.77,4.93,1.14,5.76
20,56,5.901546478,5665.484619,33.81998062,-58.0880928,-42.25782394,712.3171806,236.2100565,728.652935,295.2802491,723.0010414,350.5957568,726.9253922,238.3370376,731.5816498,300.848161,682.6388168,338.7452638,38.4,12.13,36,3.27,4.71,5.17
110,56,2.65296936,2546.850586,31.7874527,-50.22285461,-29.44272995,717.0076561,235.6270945,732.7165604,294.9399412,723.9496994,350.3194034,733.5234261,237.4209291,736.1349678,297.871778,695.6383896,337.6583898,31.18,13.56,29.79,5.07,4.5,4.78
155,56,-9.539394379,-9157.818604,18.3662796,-25.82548141,-0.153579712,729.8251534,235.7885581,736.7182732,294.9003196,727.4586868,349.8481286,746.1301231,237.5244409,764.0538597,294.5862758,728.8523483,340.0001192,33.58,9.17,23.55,5.4,10.77,0.32
242,56,-16.88083649,-16205.60303,9.566574097,-0.565280914,36.66618347,736.921463,235.7993728,736.5918159,294.7692239,727.8158569,351.3532341,755.3518867,237.7036875,778.0949593,293.6006927,764.5028687,351.2873483,20.44,4.81,7.53,4.97,14.52,2.82
