time(in ms), time(in s), hsL, hsL*wid, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
189,34,-5.005474091,-4805.255127,23.17038059,2.990469933,24.31826591,143.6724186,266.1920142,145.6532764,324.0898132,144.5737553,378.3187687,122.5421047,268.5580444,128.1642723,326.5187359,129.0741491,385.0218987,2.62,1.74,0.51,0.63,3.27,1.66
257,34,-5.506339073,-5286.08551,23.07550907,4.251823425,23.60900402,144.6589994,266.7016554,145.3230715,325.6356347,144.890728,378.7125385,122.9407024,269.2388052,128.2797289,328.1250679,129.6849346,385.5492425,2.13,0.63,0.8,0.25,3.14,2.29
321,34,-5.522947311,-5302.029419,23.04596901,4.245872498,23.15176964,144.6946192,266.6183245,145.3035021,325.6441641,144.8923159,378.8271546,122.9734468,269.2499095,128.2807302,328.1462789,129.6906281,385.5944645,2.11,0.58,0.8,0.23,3.16,2.34
388,34,-5.590310097,-5366.697693,22.87982941,3.639993668,23.1340313,144.9569035,266.3685572,145.4134798,325.5117166,144.8937464,378.9120305,123.5944748,269.001832,128.6096191,327.9218745,129.7326565,385.6843936,2.11,0.56,0.64,0.3,3.32,2.52
457,34,-8.242092133,-7912.408447,20.45441151,0.595993996,20.59978008,147.4978352,266.5729094,146.6448498,325.5303204,144.7549725,378.9190793,126.4917612,269.0835536,131.7058754,327.9478168,130.2109337,385.9546959,3.68,0.67,0.82,1.13,3.77,3.42
523,34,-11.71209812,-11243.6142,17.86520004,-3.63026619,18.65424156,150.2919817,267.3461258,147.8041649,326.6469347,144.2921448,378.958894,130.1934814,269.3713653,137.5056696,328.791393,130.5033588,385.919162,7.9,0.81,3.93,2.15,3.38,3.91
590,34,-19.93987083,-19142.276,4.324035645,-2.631940842,31.01523399,150.8113718,266.3515949,150.3799438,323.2889163,137.7474689,378.2746732,133.9031839,268.874293,150.068121,326.8617797,138.8595772,384.7403312,15.13,7.12,6.2,7.35,1.57,0.73
667,34,-18.61711979,-17872.435,7.125778198,1.123309135,33.65492821,151.9037676,265.1537097,153.8358879,321.1326456,141.227603,374.2750812,135.1417208,267.472474,153.0340576,325.4738009,143.8766384,383.5948455,14.91,8.71,5.05,7.59,3.12,1.79
726,34,-19.83717442,-19043.68744,9.043722153,15.21204472,46.9460392,153.4389496,265.1633012,153.1600857,323.9947021,142.7910805,377.0671642,137.261982,266.7496938,165.2434444,320.248096,159.7010994,379.61537,19.4,6.12,2.99,6.26,10.99,2.51
826,34,-24.05742645,-23095.12939,8.763999939,43.29721928,78.81590366,158.3274221,265.208137,153.906455,326.4057612,141.9979334,380.9767306,142.904377,266.6196603,174.8587132,320.2183878,192.3813486,380.8111632,9.3,4.67,9.26,6.98,13.94,1.1
