time(in ms), time(in s), hsL, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
778,41,-4.488916397,23.66504431,8.222100735,32.23166943,100.0981736,222.4460757,97.90236712,280.75863,99.63722706,332.9498577,77.79286623,224.9704635,81.34227991,282.1785378,89.78167534,340.6682467,2.64,2.28,4.65,1.09,5.82,2.45
852,41,-3.006448746,25.09995461,8.424403667,30.34379482,97.98613071,224.2230767,97.01775312,281.1477327,99.42950964,332.594583,77.3441577,226.2309676,80.4019618,284.4990885,89.41786766,338.776195,3.65,2.06,5.35,1.53,5.9,1.42
926,41,-3.028378487,25.01842976,8.376817703,32.85638094,97.92557716,224.2372066,97.05453157,281.0571921,99.25008059,332.5797451,77.36726046,226.24035,80.49669027,284.4875336,89.32925463,338.8154304,3.49,1.87,5.24,1.39,5.82,1.44
992,41,-3.882815838,24.42606211,7.401230335,32.08775282,98.41261625,224.13046,98.43267918,280.8405125,99.24757719,332.5467217,78.28203678,226.1519337,81.59966469,284.2476153,89.28424358,338.7897134,2.69,0.5,4.55,0.52,5.34,0.92
63,42,-5.302391052,23.02828074,6.04329586,31.81995392,99.68775988,224.2833942,101.8716073,280.9109044,99.24598932,332.4784863,79.60732698,226.1848605,83.96598816,284.2782569,89.3921113,338.6639285,0.8,2.88,3.23,1.62,4.3,0.82
143,42,-6.275024414,22.18600273,4.292914867,30.81606388,100.5576754,225.7088542,112.7187324,280.7170129,99.34214115,332.2677934,80.47201395,227.1448553,84.99396801,284.4818687,88.64279509,338.2283485,0.35,15.39,2.2,8.29,3.38,7.32
212,42,-6.676032543,22.27437258,3.478639126,30.98419905,101.6109109,226.9664133,121.9095182,280.5324876,101.4368749,331.5480065,81.1254859,228.0242389,84.71654177,285.6148016,88.73507738,338.3607638,0.45,24.75,2.47,12.71,2.85,12.68
295,42,-2.088732719,27.55340338,0.127987862,27.86123514,105.6225801,227.9972988,134.1715908,277.9945493,111.5486455,325.8316505,84.47633028,229.4669187,84.61669207,286.5750217,88.74396086,340.0469184,2.41,32.7,2.5,14.88,4.11,18.24
345,42,13.38571072,42.35442638,-6.234755516,22.68291235,111.9348907,228.7484676,143.6633492,275.4012179,130.8762074,326.7694044,91.23698473,230.4464507,88.10289145,287.9258251,88.98940086,340.6967962,2.3,28.91,0.56,7.96,5.92,21.05
442,42,24.60894585,54.74543095,-9.409382343,21.00009441,115.3345871,229.2823291,147.8694105,274.4414485,144.4586849,327.4944055,94.37377453,231.0510582,91.3977313,288.173629,89.62620735,340.9633327,0.6,24.13,1.06,2.05,5.14,22.39
484,42,41.49830818,73.14741611,-18.86441231,11.65062904,125.0057173,230.7729024,154.6527672,277.0833814,170.0201225,330.1194084,103.5225606,232.6209229,95.92940569,288.9075458,90.14285803,340.7966387,0.75,10.55,3.57,9.28,8.01,20.02
591,42,55.8928442,85.83373547,-28.38561773,1.992752552,135.7481718,235.4047018,165.5269289,281.1196983,193.4734297,331.4924204,112.9665899,236.3187987,101.8144155,289.8939979,90.69678783,340.4122674,0.38,2.79,7.04,17.35,8.37,20.6
634,42,51.02039337,82.47013092,-41.73927069,-12.82960653,147.7900887,237.8736806,179.0844584,282.1439052,201.4736938,333.4865034,126.6270733,238.5363525,110.7696247,291.0665202,92.55260468,339.9992824,2.19,7.9,11.81,13.8,10.82,22.69
740,42,34.5714426,65.79909325,-57.13801861,-29.59146738,165.5428648,237.9928994,193.5691881,281.850847,204.739995,335.2349389,144.5839405,239.0339237,128.3103704,291.3111699,97.76105404,336.2277317,11,13.06,20.92,6.73,11.53,19.67
782,42,19.89822865,51.43694401,-61.2322998,-37.45303631,180.4210138,237.650274,200.9675074,282.2904825,206.0810137,336.8503797,160.6995678,238.3033222,154.4998455,291.9620454,109.9822783,329.6892035,29.86,11.5,33.57,3.03,5.54,14.64
891,42,6.404099464,35.72017193,-44.65898037,-23.71676445,194.0247774,233.4235418,203.2119513,284.2578506,205.8159113,336.3764334,174.8045969,233.2456309,188.1078959,290.8450449,141.6350269,326.278528,43.82,4.19,36.41,1.63,4.62,5.98
936,42,-6.467814445,24.28457737,-11.09398842,7.5922966,202.0019531,229.3467504,208.9966393,284.1488671,203.6894989,336.1937106,185.7105017,230.2102017,208.1642103,286.3897562,182.3544931,328.3973658,31.74,7.39,19.06,3.27,10.48,7.09
39,43,-12.54705906,11.20891571,14.51292515,44.81553555,213.2139444,226.9761014,213.2799625,284.0722632,206.4789534,335.6261659,198.072753,228.1347835,228.3983374,279.7556019,221.754756,337.802875,21.97,4.28,3.67,4.23,15.76,4.14
81,43,-19.81131077,8.450789452,38.36776257,68.39505672,218.5435581,227.3119032,213.18964,284.0870047,204.6575975,336.1086094,205.7588339,228.3047283,238.6970043,280.6294978,248.6766243,341.4927042,14.23,2.23,5.29,5.26,16.46,1.57
191,43,-31.32973194,1.249523163,65.69193363,92.77154446,230.4467297,232.3469192,217.5811529,288.7981439,206.6015196,337.589221,220.8913279,232.4631286,254.4711971,286.6346955,286.3264847,341.6107643,1.17,0.09,18.07,7.2,16.14,2.29
230,43,-43.32326889,-11.67816639,68.01790237,95.33603668,242.8155613,235.725376,224.0785933,290.458324,206.8304157,337.5185394,237.0139503,236.8889666,272.8841972,289.9715996,304.3660641,342.0146728,2.02,0.75,18.81,11.63,17.33,5.79
342,43,-56.78657055,-29.18905735,53.49208832,85.23931503,260.7859612,236.5951681,238.0606413,289.4393957,211.8152905,333.7121952,254.5807457,238.4042591,291.1804676,289.8447847,311.4153099,343.3712697,9.81,4.84,12.02,18.43,18.16,8.81
381,43,-66.77099705,-45.63657761,39.96325493,72.39973068,280.408144,236.4124292,266.9046021,289.1892099,224.4163513,323.76827,269.851799,238.0110204,301.0994339,288.3652675,314.1078758,343.8896978,11.73,26.46,7.53,34.64,16.05,5.55
491,43,-53.99339676,-32.47936249,24.67809677,57.58810043,296.7723656,230.9030968,304.3930721,285.0002325,253.3937073,318.354274,283.9687729,230.64134,307.4585438,284.6663618,314.4211006,344.2659259,9.98,45.23,3.78,40.69,12.05,4.84
532,43,-28.49003792,-1.105155945,11.35717392,44.16615486,307.5500393,229.6693397,318.8324833,282.3121119,288.8432121,320.5875027,297.4528313,229.8228854,319.7507572,284.7220123,313.2550335,345.85639,16.29,30.66,3.4,23.77,12.29,6.92
