time(in ms),duration(in ms),HSL_count,HSL_time,HSR_count,HSR_time,TOL_count,TOL_time,TOR_count,TOR_time,FPS, time(in s), hsL, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
971,0,,,,,,,,,,39,-10.22023201,17.36123085,5.089087486,33.81026745,136.1051702,231.3072467,139.5192862,284.3073535,132.3012972,332.6650715,118.1781721,232.7405602,127.1511841,287.6639879,129.3036604,342.3566222,3.98,6.87,1.28,4.79,0.04,0.29
42,70,,,,,,,,,,40,-9.165930748,17.50270844,5.307412148,33.76768112,135.5455112,231.4687908,138.2372046,284.5391929,132.0484114,333.5606289,117.7951956,233.2314205,127.1128035,287.6632154,128.160882,342.1282911,4.88,5.7,0.64,4.05,0.77,0.21
112,70,,,,,,,,,,40,-9.215154648,17.9140234,5.274431705,32.89104223,135.551548,231.5138197,138.1637478,284.8680425,132.0121908,333.649689,117.7532029,233.2360232,127.0944071,287.7045751,128.0140114,341.7790675,4.96,5.63,0.56,4.04,0.8,0.15
207,95,,,,,,,,,,40,-9.168806076,18.09177876,5.429263115,32.77683735,135.526886,232.3494136,139.0150023,285.5574131,132.0304155,334.4924283,117.4771643,233.5344726,126.9774199,288.2770121,127.9081821,341.4941847,5.01,6.7,0.58,4.58,1.02,0.79
276,69,,,,,,,,,,40,-8.814053535,18.27801704,5.574438572,32.55391359,135.6326437,232.7095485,141.2351131,285.5599558,132.370677,333.8595772,117.3348927,233.8203049,127.0409489,288.5283566,127.9038477,341.3089514,5.17,9.31,0.54,5.88,1.21,2.15
374,98,,,,,,,,,,40,-9.200706482,17.3924017,5.490188599,33.49196434,136.5281868,233.1454986,146.597929,285.0881016,133.0402422,331.6693819,117.8704119,234.5110434,127.3565483,289.1272509,128.6963511,340.7046175,4.74,15.52,0.85,9.28,1.14,4.84
433,59,,,,,,,,,,40,5.954318047,31.51731491,4.35931921,30.24299383,139.0957975,233.6865699,156.1522579,283.6694491,149.3617916,331.8209481,118.9980769,234.8263103,127.3349476,289.2399681,128.3243465,340.7022357,4.31,15.4,0.63,4.52,1.3,9.12
534,101,,,,,,,,,,40,21.20385647,48.09465408,1.189470291,27.32142448,141.0342979,233.883664,161.1758423,282.610352,164.6380806,333.0941176,122.0334435,234.8604119,129.431591,289.2879903,128.0535364,340.6920326,5.24,10.88,0.85,2.23,1.22,11.53
579,45,1,,,,,,,,,40,32.00825214,58.59429359,-4.115352631,24.92812157,144.2812014,234.4892049,166.0645294,282.519908,177.4344778,333.0806315,127.0853233,234.9535757,132.7630091,289.4330227,127.900157,341.1382341,6.38,7.1,3.01,7.23,0.12,12.47
688,109,,,,,,,,,,40,11.09694958,45.89837551,23.9174366,48.66549969,149.7613478,235.6079918,161.3224554,285.7275832,172.5728559,343.1151617,133.3015251,235.9014362,142.9030466,290.1502347,159.9710655,339.3933392,5.35,1.1,11.05,6.31,2.68,5.52
750,62,,,,,,,,,,40,4.074783325,38.12672138,26.30998135,52.18807697,152.0959568,235.8966887,160.6637764,286.9218957,170.6130409,344.0620887,137.9648781,236.0786712,157.8542948,288.0541527,167.0717382,339.0306294,6.34,0.2,5.82,5.61,8.87,3.64
847,97,,,,,,,,,,40,15.65965176,51.79583073,-24.67815399,4.92190361,165.8511686,236.0998338,183.8625526,283.0296779,186.5362358,340.8895934,151.2315416,236.7054552,150.7079601,289.0729201,133.4231472,339.2286408,10.65,10.69,10.96,1.51,3.81,9.64
905,58,,,,,,,,,,40,26.27594948,53.49821091,-32.58397579,-2.654414177,169.9551487,236.1161846,187.0766115,283.3184874,200.1088572,336.6355026,156.0281324,236.80327,152.0932674,290.3376889,132.6223612,339.1915298,10.27,3.7,12.62,7.84,5.45,8.96
990,85,,,,,,,,,,40,12.94997692,39.88736629,-44.02540684,-15.68339825,184.9834156,234.9455452,194.8167086,283.3526695,201.5990925,334.7582245,171.9778204,235.5753708,179.9519634,290.3860331,139.1237497,333.8128102,32.55,2.27,27.86,4.26,1.85,2.57
49,58,,,,,,,,,,41,7.796959877,36.97272778,-39.99468327,-18.45786095,189.5293379,234.0767187,197.3348951,283.4280181,201.0841084,334.6517193,175.5456018,234.0308207,184.3880653,289.0291786,146.3124561,328.5345769,33.63,2.73,28.46,2.37,1.92,2.46
