time(in ms), time(in s), hsL, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
283,32,6.584615707397461,32.40373134613037,-1.2761878967285156,20.216188430786133,159.37209606170654,230.5298137664795,162.31255531311035,282.1264600753784,168.82577419281006,329.68881726264954,141.02040767669678,233.5573410987854,142.5827121734619,289.4273579120636,142.7453899383545,341.78309082984924,0.80,2.57,0.11,4.42,5.70,0.62
354,32,5.226659774780273,32.081308364868164,-1.7908430099487305,20.99259853363037,159.28884029388428,230.43005168437958,161.72736167907715,281.86986923217773,168.05664539337158,328.8537061214447,140.6554412841797,233.27921748161316,141.9532299041748,289.035165309906,142.7815818786621,341.648325920105,0.24,2.81,0.52,4.35,5.86,1.13
420,32,5.168766975402832,31.615891456604004,-1.7607879638671875,20.76998233795166,159.3448305130005,230.43312549591064,161.6793394088745,281.97631001472473,167.97178745269775,328.804589509964,140.65217971801758,233.24780344963074,142.0297336578369,288.96068572998047,142.7504539489746,341.47027015686035,0.35,2.86,0.45,4.34,5.97,1.11
488,32,5.099201202392578,31.347298622131348,-1.740889549255371,20.618834495544434,159.34534549713135,230.69937229156494,161.98671340942383,282.14274644851685,167.87045001983643,328.7840223312378,140.63040733337402,233.29885125160217,142.21645832061768,288.96628618240356,142.7173089981079,341.1554539203644,0.61,2.40,0.32,4.07,6.04,0.86
552,32,4.935564994812012,31.071109771728516,-1.5084028244018555,20.690560340881348,159.3812084197998,230.75066149234772,162.65245914459229,282.71556973457336,167.7518892288208,328.69579911231995,140.42120933532715,233.30973029136658,142.2852087020874,289.1021454334259,142.71338939666748,341.03060245513916,0.81,1.54,0.28,3.58,6.00,0.40
621,32,4.635787010192871,31.073341369628906,-1.0084247589111328,21.177034378051758,159.32763576507568,230.77703833580017,164.39666748046875,282.39917635917664,167.60806560516357,328.52086544036865,139.9359941482544,233.37268710136414,142.30719566345215,288.8826656341553,142.72132873535156,340.9502649307251,1.12,0.92,0.27,2.26,5.80,0.65
701,32,6.655611991882324,32.808194160461426,-0.05374431610107422,22.42185115814209,157.7589511871338,231.47377967834473,165.98977088928223,282.4958002567291,167.88805961608887,328.5143315792084,138.9646339416504,234.11936581134796,142.3009729385376,289.5150339603424,142.7174949645996,340.9301161766052,1.68,3.86,0.27,1.34,4.91,2.66
757,32,8.2908296585083,34.62437152862549,2.4773454666137695,25.576114654541016,156.21318340301514,231.68511629104614,167.92120456695557,281.95358633995056,168.11044692993164,328.29047441482544,136.69725894927979,234.47602450847626,142.0695161819458,289.71169352531433,142.73956775665283,340.9793293476105,2.71,7.33,0.43,0.15,2.84,5.37
864,32,10.890755653381348,36.76992416381836,5.168781280517578,28.071212768554688,154.33291912078857,233.64506542682648,171.198148727417,282.0385265350342,169.0028715133667,328.31780076026917,134.28842067718506,237.0777404308319,141.3446044921875,291.2513029575348,142.77930736541748,341.8444061279297,3.28,12.62,0.93,1.51,0.90,9.38
905,32,11.319794654846191,36.97112560272217,5.989995002746582,28.85009765625,154.42269802093506,234.1394019126892,174.5734691619873,281.3159394264221,169.80600357055664,328.1815230846405,133.51105213165283,237.78914272785187,140.570068359375,291.4668560028076,142.82308101654053,342.1204698085785,2.80,16.78,1.45,3.26,0.25,11.55
