time(in ms), time(in s), hsL, hsL*wid, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
590,52,5.313985348,5101.425934,34.32279825,6.006317139,32.13694096,88.80759001,233.8273376,95.84298849,293.9791417,97.2454977,350.151422,64.89071131,239.0227872,71.08206511,302.3104262,76.08931303,360.1294971,0.36,2.96,2.8,0.82,6.95,0.02
659,52,4.164404869,3997.828674,36.67012453,6.236922741,31.50583506,89.10191774,233.6382902,95.000453,296.5187216,97.95675516,351.7482269,63.59783649,238.9750224,68.58062267,304.4362164,74.03145075,359.9924469,0.71,1.3,3.17,1.74,8.28,1.04
729,52,4.291713238,4120.044708,36.88047409,6.337323189,30.99413395,89.04338837,233.6282319,95.17521858,296.382637,98.23348761,351.75946,63.5315752,238.8868314,68.53770018,304.4518912,74.06467438,360.0966346,0.74,1.37,3.21,1.8,8.28,0.94
791,52,3.957602978,3799.298859,36.54620647,6.306359768,30.39191723,89.39103127,233.8573515,95.11420727,296.9853616,98.25265646,351.8894935,63.57608557,238.8943309,68.4741497,305.1517546,74.06092644,360.1958656,0.89,1.08,3.28,1.86,8.02,0.56
873,52,3.808321953,3655.989075,36.40714645,6.339590549,30.09236813,89.53589916,233.9304471,95.10718346,297.1810234,98.25848579,352.1523929,63.57699394,238.8810056,68.40893269,305.314393,74.06821489,360.4198515,0.96,0.99,3.32,1.87,7.93,0.44
928,52,2.152347565,2066.253662,34.70770597,5.708606243,29.32034254,91.24031782,234.2815375,95.85376024,298.108027,98.30492735,352.6053858,64.33527946,239.17548,68.56792688,305.5023301,74.12190199,360.7259774,1.18,0.88,3.25,1.47,7.67,0.53
26,53,-1.059908867,-1017.512512,31.44186974,4.130079746,29.84539747,94.45482731,234.7442025,105.2876759,295.8354664,98.78155947,351.2336612,65.92782497,239.1822875,69.4784832,305.087285,74.38694715,361.1883688,1.08,9.48,2.83,3.76,6.68,3.51
81,53,1.234295368,1184.923553,33.66235971,0.718567371,26.84268951,97.09149599,234.5270401,116.5434194,292.0983553,103.0781865,348.8863635,68.98145199,238.0629212,71.76177979,303.0275416,74.21634436,361.3489151,0.02,18.36,1.37,7.58,5.52,8.89
178,53,10.03400087,9632.640839,44.02582169,-2.375822067,25.81544638,98.83425236,234.6006185,122.9288721,289.7385049,114.9086666,348.561312,70.76032877,238.099646,73.55802298,301.984731,73.99571657,360.8665037,1.17,18.2,0.25,4.37,4.9,12.68
227,53,39.22330856,37654.37622,71.78518295,-11.21194839,19.37463999,106.4912796,236.891284,133.7874699,289.839828,148.2389545,349.7863305,80.04143715,238.7158728,79.40378666,302.0995724,74.22337532,361.5882218,2.48,8.45,2.79,7.74,4.32,15.66
323,53,47.32721329,45434.12476,81.62587166,-17.21198559,14.11831141,110.5370808,239.9494207,139.8490047,290.2638531,160.4872084,349.8301685,86.05290413,241.3073856,83.55749846,304.3454826,74.53184366,361.7818236,3.78,7.12,5.03,11.05,5.34,17.05
377,53,55.70199966,53473.91968,86.52006626,-28.61874104,2.986571789,120.9906149,241.5525502,150.2526426,293.7383223,176.9682884,350.1982856,97.64657021,243.4598261,89.28318501,305.4382789,75.32971859,361.706121,3.6,2.6,7.92,14.92,8.07,15.31
459,53,44.79392052,43002.1637,78.08612823,-42.80131102,-10.06894112,135.4377079,242.2238481,160.7492638,295.6275415,181.7058277,352.3996496,111.8453979,244.2263317,98.6707449,305.3755796,77.17075825,361.6775393,5.21,3.2,12.11,11.75,10.67,11.61
536,53,33.00134182,31681.28815,65.59697628,-62.24892855,-30.77003002,151.2030172,242.0564622,170.6075907,296.9299364,187.2140551,354.8322737,134.0605831,243.9700627,116.5585828,305.002892,81.55039072,355.3144276,12.21,2.09,21.36,9.18,14.39,6.97
599,53,18.13542366,17410.00671,51.55732155,-63.81066799,-40.03750563,165.9852934,239.0150303,173.2065725,297.66469,188.1695795,354.8224247,151.2487507,240.8759737,146.8963051,304.8866022,96.40223265,346.5560603,32.09,4.41,34.27,8.4,7.14,0.12
691,53,8.361525536,8027.064514,42.71239758,-55.08479118,-36.02701664,176.165514,238.6616385,180.0602674,298.8336718,188.7192535,355.1393974,157.5115728,239.7058976,160.927577,302.7060306,111.4100289,343.0466044,36.37,2.86,34.62,4.96,3.8,1.39
759,53,-43.57877254,-41835.62164,-17.83494473,-4.048604965,26.96386814,189.4929028,237.1334875,190.5975294,298.6407781,156.9388533,346.0326433,169.9419308,238.7517929,187.0377302,302.3848414,178.2980061,348.3401906,14.7,22.36,6.09,21.77,2.95,1.94
838,53,-21.48728371,-20627.79236,8.971381187,-3.520088196,28.37041855,201.8489313,235.8289522,206.0979366,295.7560301,188.1248045,346.2439477,185.2116823,238.3047062,197.436018,298.1237984,188.7860012,353.9915621,11.53,13.61,4.96,11.31,0.84,0.77
898,53,-32.16073036,-30874.30115,3.252511024,35.42564392,68.16165447,212.7015495,235.936954,201.8870544,296.6968739,188.4155273,355.2323842,201.6626215,238.4153312,232.6744938,295.7518137,240.7049847,357.3427248,12.73,1.66,4.21,7.36,10.83,6.06
989,53,-44.95355129,-43155.40924,-11.63832664,68.50045681,101.2762499,227.426219,238.6519021,207.3092365,300.06001,190.0970364,357.4881434,213.7293005,238.9093459,252.1995735,296.2356091,284.7988701,359.8391747,4.6,0.87,16.1,9.55,15.26,8.74
44,54,-61.82461739,-59351.63269,-29.21081543,58.14856052,89.90399837,246.0637093,241.5928638,220.7838106,299.818418,194.3303633,356.5600455,239.3028975,243.1115198,271.3328648,301.7797351,300.1875687,362.3963284,2.08,0.97,15.01,14.68,10.2,13.09
135,54,-72.23580837,-69346.37604,-46.82925224,42.12080956,77.65191078,268.0133343,241.2049359,247.2659397,300.7905793,206.6103888,346.0367954,256.336956,242.073682,285.4770756,301.6217959,303.1417179,363.1838357,6.22,15.73,9.19,26.8,9.51,10.77
188,54,-62.58346081,-60080.12238,-40.17863274,26.07467651,61.28065109,287.4574757,236.9505554,283.5828495,299.555583,235.6662226,337.2254813,271.8850422,238.6744648,292.7089405,300.3749549,302.2724247,362.7391148,5.82,33.59,4.95,35.58,6.8,2.99
294,54,-55.93700409,-53699.52393,-35.21166801,18.87302399,52.74581909,299.0350914,234.7861737,298.8666916,299.3730533,253.363924,337.1686721,280.6477261,236.2168962,296.073246,301.6299391,304.6638393,363.1977081,3.07,34.02,4.51,34.1,3.03,2.77
345,54,-26.28393173,-25232.57446,-4.220724106,-3.289518356,32.31153488,312.2046947,233.5163516,327.5133991,291.3683975,295.0057411,337.9271793,298.4013748,234.6993023,307.5139904,298.6630833,301.9914722,358.3666742,7.56,29.91,2.96,21.43,1.41,5.82
440,54,19.33782578,18564.31274,52.2387886,-18.14732552,16.25195503,323.9500809,233.413403,353.9693356,288.8403404,349.0183926,347.8177071,316.1737633,234.0761232,314.0944576,298.0519903,303.8635826,359.863379,4.27,19.65,5.3,2.69,3,14.92
490,54,50.90603828,48869.79675,86.22528076,-36.59691811,-1.537714005,342.5313663,235.5658436,373.0866909,290.1512325,394.3796253,350.5752861,333.9477253,235.9894985,322.6469707,301.1921382,305.3567505,361.3711882,3.61,6.27,9.16,11.23,6.68,14.89
580,54,55.62375069,53398.80066,87.79495239,-57.49031067,-22.32250214,359.9516487,238.433066,392.7272129,290.8093822,415.8719444,352.3564231,354.8474407,239.6240956,337.4452114,303.0948758,307.973299,359.6393287,7.57,7.45,16.32,11.96,9.51,16.89
