time(in ms), time(in s), hsL, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
679,28,0.636177063,28.27458143,14.01302576,33.81037831,68.25943708,231.6171223,71.52392149,289.7818279,72.23926306,342.5214493,43.90873075,235.8010143,51.44833088,293.960892,61.28929853,349.4281268,1.53,1.37,5.71,0.45,5.66,0.27
763,28,0.972783566,28.39903593,13.89563084,34.62145686,67.98713923,231.2576151,71.0466814,291.4476085,72.75316715,345.3630996,44.12878633,235.4662263,52.48470068,295.9770226,60.68529367,350.7751966,0.37,0.62,4.82,1.04,5.65,0.09
828,28,1.200420856,28.61102343,13.66944909,34.10107255,68.31031322,231.463303,71.25962019,291.4596784,73.14386129,345.2523458,44.28943992,235.6346583,52.35689163,296.1548853,60.40339708,350.5606735,0.47,0.46,4.77,1.14,5.88,0.1
897,28,0.842542648,28.400352,12.91009784,32.8294909,68.51750135,233.7618703,77.6842618,291.4797628,73.17287922,344.352057,44.09300208,237.0850629,51.20812654,296.6595054,58.97244215,349.3651056,0.89,7.85,4.75,2.73,5.38,3.95
960,28,-0.46880722,27.64383316,12.13947058,32.81213164,69.64796305,234.0891427,84.85517979,291.1437678,73.68820667,343.1681728,44.18750882,237.4405628,50.72090149,296.7363346,58.28945875,348.9126599,1.12,15.41,4.68,6.87,5.01,7.66
28,29,1.700470448,31.43038988,10.47767758,32.15642095,71.11363649,234.6747762,97.31096506,288.7451005,79.13237572,338.5693002,45.14683127,237.978496,49.68286872,296.6172767,57.71877408,348.3046889,2.51,26.84,5.01,11.58,4.41,15.5
93,29,16.06841326,47.86871195,4.959890842,33.26427698,75.56736231,234.817282,107.5271916,285.2684748,96.26817226,337.1562481,50.1098299,238.6217433,51.43909693,297.0252085,58.17909479,349.6862304,3.38,26.57,4.13,6.94,5.8,20.12
177,29,25.89615583,57.56690741,1.691025496,31.7866838,79.09733534,235.4340237,113.0429935,282.5542831,109.6822572,337.7251768,53.4234345,239.2412531,53.71283412,297.7141285,58.35832715,350.985471,2.65,24.02,2.83,1.94,5.94,23.12
241,29,47.88836718,78.8933444,-7.196702957,24.30060625,86.45863295,237.2862768,121.4524555,282.9297388,136.970458,338.2126737,62.14109659,240.6751621,58.16162825,298.7981379,58.76631975,351.7213511,2.57,14.36,0.39,8.99,7.14,23.62
324,29,61.88617945,91.45495176,-16.87046885,14.2872262,97.01975584,240.0791001,129.5582056,287.3655868,159.0881968,338.4534287,72.20927238,243.3564109,66.52889729,299.9611974,60.7610321,352.1399689,0.33,3.15,3.54,18.03,6.84,21.77
