time(in ms), time(in s), hsL, hsL*wid, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
630,39,-1.659379005,-1593.003845,30.6540513,11.95084333,35.83099365,112.0333457,236.7616045,113.7554026,293.2051528,115.1841617,348.0698884,89.88494396,239.5968336,97.40464211,296.6945243,104.756248,353.3254945,0.06,0.14,4.19,0.86,5.15,0.56
699,39,-0.309040546,-296.6789246,29.75505352,12.29314327,34.6571517,112.6054001,236.0758388,114.4007993,294.938525,116.9369388,348.403759,89.54526186,238.5458153,97.25466728,299.216305,104.4862032,353.3516622,0.21,0.55,4.31,1.55,5.51,0.64
770,39,0.183384418,176.0490417,29.30178881,12.25856066,33.1583333,112.6097274,236.0228276,114.4040036,294.9514639,116.9450855,348.8417208,89.53214407,238.4673607,96.89276218,299.3096781,104.3989062,353.3774757,0.57,0.54,4.48,1.54,5.73,0.61
837,39,0.085859299,82.42492676,28.91784668,12.05518484,32.09432602,112.6420927,235.9149867,117.138083,294.3100834,116.9106603,349.017942,89.47458744,238.326416,96.05303049,299.3206537,103.9029479,353.2577419,1.21,2.61,4.69,0.12,6.17,0.87
927,39,0.109713078,105.3245544,29.79637384,11.45379066,32.1008563,113.0778337,236.3580984,126.3471079,293.5808337,118.2825494,348.927691,89.46173429,239.3259841,95.91108799,300.6338954,103.3319449,353.5027456,1.13,12.12,4.53,4.67,6.21,5.64
987,39,5.115673542,4911.0466,35.15945435,10.87618589,32.24018812,113.7549162,236.5008777,132.3056889,291.7274058,124.4731951,347.5626934,89.70915556,240.304454,95.41650295,301.767472,102.9707551,353.9325964,1.67,15.21,4.67,4.5,6.6,8.61
74,40,25.36678791,24352.11639,59.14504051,7.777233124,32.42690563,114.8906994,236.339736,139.1899538,288.7951505,144.4047832,346.0708165,90.31209469,240.4849881,95.42883396,301.8938684,102.223506,355.0860965,1.43,11.67,4.12,2.95,6.45,12.34
125,40,43.51113796,41770.69244,73.48826408,5.919578075,31.22218609,117.2803545,235.346396,146.3426971,286.7560387,163.6229753,342.8947484,92.36879826,240.4037493,95.89235544,300.5870318,102.0964122,355.0658834,1.78,7.82,3.68,9.84,6.86,14.92
209,40,57.37996101,55084.76257,85.351367,1.186366081,27.34303236,122.1138239,235.5028546,153.3596277,285.1305556,179.862113,337.6477361,97.22378969,240.5987352,97.9701376,300.84005,102.155757,355.15607,2.08,3.65,2.5,15.87,8.17,16.91
262,40,64.56366062,61981.1142,93.22274208,-2.663583755,22.98492908,126.8689585,236.0883272,159.6929741,284.8354697,191.3101101,336.2565386,101.5490484,241.540255,100.3949904,301.2352681,102.4174118,355.3563666,1.83,1.67,1.22,19.1,8.82,18.51
360,40,65.2546978,62644.50989,93.44731808,-6.015543938,19.81211901,130.1236439,236.5433961,163.1240273,284.8951113,194.6692514,336.3874412,104.960053,241.8130356,102.6499414,301.929338,102.6540112,355.3457129,1.24,1.99,0.02,19.03,9.29,19.02
416,40,59.66289997,57276.38397,89.18490887,-12.8681016,12.50629663,137.5687981,239.5058745,169.1492128,287.5501442,196.9823027,337.381264,112.2839141,243.4293133,106.4212132,303.5706568,104.016695,356.0245264,1.66,2.85,1.46,17.46,10.98,18.73
498,40,48.91003132,46953.63007,79.0643549,-21.2175107,5.074982643,146.6520882,243.0199331,175.2913141,293.6631024,197.0551729,346.3812876,120.7840776,245.8864313,112.0509553,305.2518868,105.197618,356.7278016,0.45,4.57,4.27,13.09,11.42,16.99
560,40,36.00311279,34562.98828,67.46684074,-32.92675495,-5.958652496,157.7376795,244.1850042,181.6281652,294.8881853,196.9665956,349.2749834,132.3541832,246.1862487,119.7027898,305.0705159,106.2898135,356.264509,1.49,5.83,8.37,9.03,12.6,15.18
648,40,22.42698669,21529.90723,55.38648605,-42.84451246,-16.5514183,170.4560709,243.5239577,191.0819006,294.8107767,198.296814,351.2315047,145.3767157,245.0800949,137.073698,304.9686134,111.701324,350.4368842,12.97,8.63,17.42,4.13,9.34,13.24
703,40,18.33306313,17599.7406,50.93052864,-45.35770655,-22.73560524,175.2490997,242.870121,193.3094501,294.8405814,198.7914705,352.3527539,152.2383213,242.5455523,148.9424658,304.5122087,116.1835313,344.2740369,23.15,7.99,24.86,3.09,6.01,12.55
799,40,7.487082481,7187.599182,39.13909435,-35.57514668,-16.5785265,186.3133478,238.477934,196.0984612,294.5936143,199.4328547,352.1584117,163.808856,238.5081893,175.8675528,299.0404058,138.2680321,336.3005376,35.97,3.74,29.57,1.88,1.93,7.5
849,40,-14.67896461,-14091.80603,13.81346226,-3.094725609,9.874205589,196.5651083,235.3046501,201.0882425,293.8756299,191.476965,348.2314003,175.6409597,236.0529864,195.9529781,295.4228354,178.8749027,338.1040764,23.58,8.17,12.68,5.67,6,4.52
961,40,-6.83675766,-6563.287354,23.72375965,6.425085068,37.82883167,202.4997568,234.2901152,207.7501774,293.4565294,203.0751944,348.3038843,187.095437,235.1141703,200.5276537,292.4497676,200.603714,351.4643097,7.47,5.6,0.06,2.73,2.6,6.71
13,41,-18.69223595,-17944.54651,13.19662571,46.48554325,75.67538738,212.6303816,234.756884,205.5003262,295.2886176,202.5733137,351.200155,200.013299,235.3662711,230.6684589,293.5864663,247.9602814,355.2776384,7.54,2.1,8.98,1.67,11.55,0.67
