time(in ms), time(in s), hsL, hsL*wid, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
576,46,-0.369715691,-354.927063,30.84412336,1.797423363,28.25556278,116.4106393,232.9561937,120.7994699,294.9755716,121.1117363,347.3442435,92.41717815,237.1424192,96.19585991,300.0950611,98.69011402,356.2351227,0.5,2.09,1.45,0.21,7.34,0.41
645,46,-0.861911774,-827.4353027,30.45244932,2.600133419,28.63551378,116.7560077,231.8833691,120.5469847,293.7746286,121.2363768,344.8973608,93.15551519,235.7517368,96.88786983,299.8401439,99.28987026,356.4424682,0.51,1.54,1.38,0.45,7,1.46
721,46,-0.912544727,-876.0429382,30.37321329,2.37244606,28.91422033,116.7457223,231.8924296,120.2662897,293.9381039,121.2298536,344.8924685,93.16674471,235.8810782,96.89279079,300.2313387,99.28948402,356.7245507,0.5,1.22,1.38,0.63,7,1.76
806,46,-1.411149502,-1354.703522,30.29694557,2.274656296,29.0212512,116.7624378,231.8816471,120.2277946,293.9471483,121.1935472,344.9463165,93.1407094,235.7922757,96.98875666,300.3599882,99.2898345,356.9066298,0.61,1.19,1.33,0.63,6.97,1.8
862,46,-1.675651073,-1608.625031,30.02415419,1.779484749,28.89941454,117.0350432,232.0397955,120.2322578,293.9585745,121.2113142,345.3600097,93.26929808,235.7938528,97.4138689,300.3663611,99.28846836,357.0501494,1,1.05,1.08,0.63,6.79,1.71
942,46,-1.955337524,-1877.124023,29.72590685,1.147484779,28.55121374,117.3311448,232.1472824,120.2817106,293.9585745,121.2299681,345.5515194,93.57331038,235.8345205,97.73473978,300.379976,99.24044609,357.0815957,1.22,0.95,0.87,0.61,6.81,1.83
10,47,-2.171723843,-2084.854889,29.49883461,0.198898315,27.90824175,117.5599909,232.9878974,120.4642725,294.0231085,121.2401676,345.6315994,94.22552347,236.2365621,97.99174547,300.7649589,99.14173365,357.5476563,1.23,1.05,0.67,0.5,6.93,1.89
80,47,-2.251567841,-2161.505127,29.6720767,0.07917881,28.03246021,117.5547624,234.0290344,123.3581543,293.9910507,121.4791489,345.7326007,94.21940804,237.1938694,98.01380396,301.3799143,99.14109707,358.3541536,1.27,4.29,0.65,1.15,6.54,0.02
142,47,-2.380914688,-2285.678101,29.68463659,0.087039471,28.36777925,117.9767776,234.7890061,129.3411541,293.9711273,122.3174,345.6711888,94.21229124,238.3676469,98.9672184,301.5555561,99.20150042,358.4144711,2.29,10.53,0.15,4.35,5.63,3.25
237,47,-2.290320396,-2198.707581,30.39555788,0.142571926,28.96935225,118.1465936,234.7795111,135.736084,292.8551567,123.7454367,343.6199749,94.17701483,238.3003771,99.38145876,301.5559423,99.20481205,358.4716344,2.75,17.24,0.08,7.55,4.96,7.12
291,47,4.685540199,4498.118591,37.56756306,-2.081243992,28.85439634,119.7717762,234.8170406,144.1092396,290.6812155,130.0894833,342.3425567,96.33568525,238.6930686,101.1842465,301.6805041,99.29080009,358.852433,3.55,22.45,1.05,8.66,4.98,10.97
385,47,18.58885288,17845.29877,53.35453033,-7.153615952,25.89746475,125.0806618,234.5895141,151.2919378,288.8526356,148.8635159,342.6622009,100.3670883,238.5562921,103.4292841,301.6276217,99.09887552,358.9398515,4,16.66,2.42,1.43,5.62,12.61
438,47,32.84560204,31531.77795,65.94843864,-14.16729212,19.90208387,130.048871,235.1338685,158.9095116,289.0158534,167.3303747,346.6427064,107.4743629,238.9059985,105.62042,302.0727289,99.67518568,359.016552,2.42,12.07,3.34,4.72,7.63,13.91
537,47,50.21800518,48209.28497,80.27545452,-21.48931503,12.22011566,135.6429148,235.5861855,163.6634016,290.1974523,186.3165379,346.5751147,115.0214911,239.1646492,108.9650488,302.5557518,100.6413674,359.3431163,1.64,3.36,4.7,12.76,8.35,14.11
580,47,50.36115646,48346.71021,81.6508913,-29.09098864,4.849205017,143.061204,236.3356483,171.659317,290.2184701,194.8795509,347.0332897,122.6310253,239.5446754,114.8921657,302.6538241,101.1786318,359.3697023,3.8,3.68,7.73,12.97,7.43,15.28
672,47,37.60770321,36103.39508,71.89261436,-42.1722579,-8.374428749,157.4906445,237.1065152,181.6535854,291.1440253,198.4508657,349.7927999,136.0300112,239.5637459,128.7427998,302.2018933,103.6517501,356.8804944,10.73,4.97,14.46,9.17,6.73,12.58
722,47,26.24626637,25196.41571,59.85477448,-50.44693708,-19.87468243,170.767107,237.233507,190.88449,292.2974288,201.4818478,351.1929774,149.5324802,239.1353273,145.3405523,301.8651581,110.3516936,351.9395435,19.3,5.83,21.44,5.8,4.66,10.57
821,47,18.73871326,17989.16473,52.25658417,-52.10347652,-26.96926117,178.4249067,237.5099248,195.1850796,293.9615035,202.6208353,351.9069386,157.5099993,238.9665413,156.7445898,301.7975986,116.7785954,346.5129626,26.3,5.35,26.68,4.15,3.4,8.61
879,47,4.103622437,3939.477539,38.33091259,-45.37658215,-29.36705589,193.4268665,236.43673,200.864625,294.1371453,203.0332804,351.8098962,172.3736429,238.0176508,183.9953756,300.5785346,137.4950552,339.6206081,39.79,2.94,33.82,1.23,1.53,3.65
973,47,-1.361846924,-1307.373047,33.31960201,-37.99007893,-21.25871658,199.4079924,234.1112065,206.0839748,294.0766668,203.9813662,352.1525216,180.2979612,235.9892571,194.5326948,298.4015357,151.8619251,339.5483816,37.57,4.75,30.25,1.15,2.03,3.45
23,48,-13.49465847,-12954.87213,19.68802929,-5.079703331,24.49913979,213.0094099,233.083443,218.9609385,293.813864,207.1799183,347.5453126,199.0739965,235.9383702,217.2236967,297.7567756,202.5097418,352.660135,17.95,10.19,8.56,7.01,4.31,3.75
120,48,-25.26193142,-24251.45416,6.038446426,33.96489143,62.96479225,223.9957666,233.2648784,217.9502535,295.9542668,204.6838617,350.0395095,212.0596218,236.0291362,242.7166557,295.3693092,251.8230057,358.2911646,11.55,4.75,4.67,7.84,11.18,1.15
171,48,-33.76205921,-32411.57684,-0.500321388,44.21267509,73.97252083,231.5658331,235.8153695,219.0566111,297.0952141,204.2376137,351.8016243,221.950779,238.2469797,249.9499226,299.0410817,270.2570057,359.6898937,3.86,2.11,10.68,8.65,8.63,5.07
266,48,-45.96264839,-44124.14246,-12.34266758,59.07500267,87.44710922,243.311491,236.2630194,227.8238726,298.0266273,205.0061703,352.8985083,234.4937897,238.246336,261.6077328,298.9934134,293.682003,358.212018,2.85,5.14,16.96,13.15,9.78,6.32
322,48,-59.41297531,-57036.4563,-26.289711,46.22571945,79.32329178,258.8801193,237.6592702,242.1269417,298.6544895,210.0746155,350.2212989,252.928791,239.3563843,280.2524757,299.4775629,302.6317692,359.3127644,2.46,10.49,11.9,19.26,9.01,6.49
411,48,-67.34765053,-64653.74451,-42.29723454,27.8181839,61.71346664,280.7519531,234.8701,268.4875774,298.4638488,226.6842985,340.2182794,269.979887,236.6611987,293.5751152,297.8200221,303.832283,359.7435486,6.92,23.2,5.34,29.38,7.25,6.16
459,48,-50.90558052,-48869.3573,-34.65087891,13.98902893,48.7533474,292.7921391,232.6442099,295.8353806,297.0650876,254.6850872,332.6258039,284.8971748,235.0750315,304.3184566,297.7159309,306.1085415,359.7056651,8.96,34.58,0.95,33.06,5.06,0.14
565,48,-31.85245514,-30578.35693,-7.382068634,4.083223343,36.28355026,307.291975,232.9778552,321.3485527,293.3849144,287.9796982,336.4525223,298.531208,234.9683815,312.872057,299.9494493,306.8664837,359.4886637,10.32,31.01,3.23,23.54,2.94,3.78
617,48,-2.917098999,-2800.415039,27.41357803,-10.55600166,23.28935623,317.995348,233.0317515,338.2909298,292.0563197,323.3791924,343.3620322,311.2393284,234.5557022,316.897459,299.8866212,307.2158432,359.4251597,8.02,20.23,5.21,9.27,0.36,7.43
715,48,34.07195091,32709.07288,66.41495705,-25.28666496,10.54761887,332.9847622,236.0188365,359.1097641,289.8686349,370.9755421,346.5835154,325.8089161,235.93557,322.7363205,300.6836879,307.3117447,360.0337422,6.79,8.55,8.3,6.73,3.7,11.96
766,48,48.25922012,46328.85132,76.06289864,-32.17403412,2.359027863,336.2014961,236.2778735,364.392643,289.6082139,386.9429398,346.5943944,333.2292366,236.0609204,326.0954475,300.6346679,308.3955574,359.9281704,5.98,4.01,9.51,12.57,4.94,14.72
887,48,54.63126183,52446.01135,86.40555382,-51.10239029,-16.86255455,354.1151905,238.2763982,382.5121021,288.4003508,408.2586479,346.254698,350.4024124,238.3819056,337.0601749,300.8301044,309.8445797,357.5485253,8.25,3.62,15.09,14.08,8.38,15.67
936,48,34.3085289,32936.18774,66.41870499,-65.75677872,-33.07585716,377.1016788,239.046911,400.6414604,288.677702,415.2610874,346.6952026,369.309082,239.5503563,354.7466469,301.6031921,315.9060001,354.6148217,14.88,6.87,22.38,8.09,9.37,11.23
21,49,10.1614666,9755.007935,34.80794907,-55.28059959,-44.25132751,400.0617599,236.2451077,411.6901875,295.2851415,417.4494553,349.5911837,397.4727058,236.7513531,407.687788,301.5815949,359.8467922,349.1691864,34.55,2.91,29.49,3.43,2.14,3.46
71,49,5.61870575,5393.95752,37.91647911,-48.27589989,-26.94594383,405.7638359,232.7194136,420.2841854,294.8223639,417.8569221,349.7590685,404.34268,233.1559592,418.605051,296.7651415,367.0193768,337.0791614,42.93,8.92,35.74,1.41,5.27,4.33
166,49,-23.44445229,-22506.67419,6.796503067,-22.36847878,8.732728958,427.2428226,233.4396994,440.2468014,294.7387755,413.8828754,342.9981959,421.6127014,233.2301009,429.2282295,296.5504253,409.9893093,342.4268532,17.14,23.89,13.26,17.07,0.11,2.86
213,49,-17.89223671,-17176.54724,8.785228729,-8.082304001,25.50742149,440.8175468,234.0688652,449.8882484,294.2587781,432.4409294,344.2083442,434.770031,234.2916119,448.7074471,295.817796,434.2971897,343.6528051,16.88,15.96,9.6,11.1,4.44,3.45
323,49,-29.42708015,-28249.99695,1.824216843,18.38524818,51.18189812,442.5012589,237.7327681,434.0674782,295.5131829,421.57794,350.2705765,446.3120556,236.8306124,472.5734997,294.5594966,470.9336185,354.9911141,15.23,2.62,0.86,7.3,11.13,4.94
381,49,-40.77973366,-39148.54431,-10.24191856,44.7463131,75.83487511,454.5911694,238.9409691,439.1017628,295.7285106,422.0085526,351.6268194,460.9138012,237.8692549,483.6898613,294.6696389,507.3421669,355.0284505,0.28,1.04,12.45,9.74,10.68,8.12
488,49,-65.30433655,-62692.16309,-34.68086243,30.51452637,65.66162109,481.6596222,238.8202536,462.9708195,295.6308246,427.9425716,347.5690663,487.8764534,237.9884738,507.6012611,294.7748566,523.0336189,356.213944,3.01,10.29,8.06,20.76,8.44,9.72
544,49,-68.7683773,-66017.64221,-49.74143028,11.59132004,45.92943192,502.9827118,236.294691,495.7707024,295.2800882,447.5755978,335.038569,508.0106735,237.0575112,521.6915131,295.7531977,525.4339027,356.5858912,5.49,30.35,2,34.28,4.17,7.04
625,49,-50.91908455,-48882.32117,-34.72784042,-4.264011383,32.49916077,518.4693146,233.3196115,523.4650612,295.0641489,476.9215965,330.9477603,522.6409149,234.3369949,528.3518028,295.6361997,525.627079,356.8448639,4.43,38.72,1.41,36.11,0.5,0.72
675,49,-41.64779663,-39981.88477,-20.3030777,-9.569149017,28.61949921,523.1320953,230.9349293,532.2057724,292.6695693,493.537159,331.369468,526.5392876,231.5488869,536.4644051,294.5604944,526.036377,356.7799437,10.45,34.06,5.37,29.33,4.44,3.07
757,49,-18.4485054,-17710.56519,12.79575348,-21.59574509,13.22587967,539.6006584,231.3488799,544.6731377,292.7332664,531.0334396,343.9771807,540.2160645,232.1363229,540.6612396,297.1108246,527.6602936,356.242429,7.27,11.18,7.03,8.5,0.43,0.12
822,49,18.73231888,17983.02612,46.40882492,-36.18690491,-1.16312027,552.1440697,231.8653446,567.9563141,289.9827039,573.9245224,343.1890297,554.4768333,232.5259405,546.5035057,297.0820498,526.9519615,356.2063479,6.56,5.09,10.52,3.63,2.85,6.9
899,49,38.39590073,36860.0647,65.93101501,-50.48309326,-14.41280365,567.2781944,234.0333474,584.7428513,290.4742885,605.6507492,343.0462182,569.1951942,235.3757179,556.9328499,298.3263481,528.38871,354.7350061,9.64,2.74,15.87,12.63,4.52,8.19
971,49,41.11856461,39473.82202,67.06506729,-59.3715477,-23.15803528,573.3780098,236.3423431,595.6977081,290.5255294,615.0481224,343.5913289,578.0092049,238.0326176,562.8588867,298.8394654,529.5010185,353.726474,10.9,1.45,18.86,11.61,5.9,11.65
35,50,23.82144928,22868.59131,52.35729218,-72.05406189,-38.30102921,594.6589851,239.8017329,612.9063034,292.5816357,621.6295052,345.5795538,595.1449585,240.3513497,576.8906593,301.3598943,535.8659935,350.8959925,15.42,5.72,24.96,5.31,8.61,7.29
106,50,10.76568604,10335.05859,39.87012863,-68.10092926,-48.41062546,606.4792442,236.2612331,620.8502769,292.7055216,622.5972748,347.3382568,610.7452011,238.2971102,610.4070854,301.1063933,554.1229248,343.3276248,36.69,7.12,36.86,1.05,0.83,5.31
169,50,-39.083004,-37519.68384,-0.012016296,-24.79602814,7.531585693,610.7494354,233.9525753,626.2117195,292.7549601,578.336277,337.0806742,617.2143745,236.1260819,625.8694267,298.889097,602.9087448,344.9840069,20.09,39.69,15.64,31.26,5.96,7.21
236,50,-23.76955032,-22818.76831,1.617450714,-34.64326859,-1.808395386,627.2783661,233.8335174,640.5739403,293.6043298,610.2207184,338.6534357,632.3818016,235.0612235,638.4938622,298.5419011,610.0756073,341.9160533,23.33,27.89,20.22,20.74,3.07,4.94
300,50,-15.80097198,-15168.93311,14.19050217,-17.80929565,10.80762863,637.3603249,233.8243604,640.6478691,293.1128418,629.3960953,344.4844723,646.981945,234.8740911,669.0089607,293.2918954,638.0421638,343.0299962,31.28,8.81,19.29,7.01,11.46,0.04
368,50,-21.80276871,-20930.65796,8.630275726,-2.692222595,29.79824066,643.338089,233.4782428,639.7529411,292.972573,631.5807724,347.1125972,652.1074104,234.6653777,671.4597702,292.5558221,656.6889381,347.2757506,19.28,2.91,8.62,4.84,10.4,3.44
439,50,-31.35972977,-30105.34058,-4.961299896,26.31071091,57.99442291,651.2330818,233.3938819,643.4333038,291.6460383,627.8405571,348.4512019,666.2132835,235.4597729,685.6182289,293.2417166,697.1792793,352.642014,4.45,4.47,6.27,8.77,10.96,4.66
498,50,-43.32229614,-41589.4043,-17.20888138,29.30465698,60.57060242,664.1495705,234.7649306,652.2754669,291.4231145,629.11726,348.0515742,681.5948296,237.4976939,698.5513115,293.499949,713.4927177,353.7246716,1.72,6.23,7.96,12.94,10.09,7.81
573,50,-52.93567657,-50818.24951,-24.25329208,21.24120712,54.0760231,674.4482231,236.0963094,659.7165871,292.1115839,630.2327156,347.0554662,690.1609039,238.7581336,705.5445671,295.1456773,716.5101242,355.7773662,2.92,8.38,5.83,16.78,8,9.45
631,50,-28.59369278,-27449.94507,-6.193313599,-9.355716705,37.02735901,692.3779106,237.2792119,688.0182838,293.1031215,672.0692825,347.0996261,702.4641037,239.2986578,703.0583954,297.1125627,692.1822166,354.976083,6.37,6.92,6,9.42,0.43,5.91
706,50,7.496109009,7196.264648,38.95648956,-60.35121918,-49.71290588,706.42313,237.1978766,720.7222939,295.9809494,719.0432167,356.3552105,714.5175362,239.4206446,715.6423759,297.7801752,664.7686958,332.4582088,40.15,8.69,39.53,0.88,1.46,3.18
783,50,-33.5326767,-32191.36963,-16.81606293,-11.18534088,21.41407013,708.9644623,235.9253186,719.8968315,294.3140101,681.829834,330.9219146,721.1715889,238.4944779,725.0703049,297.710588,717.7405357,353.1375575,6.38,36.34,4.24,30.32,3.28,2.57
856,50,-29.50435638,-28324.18213,-7.907524109,-16.77143097,16.76010132,716.2534332,234.4519329,728.7099266,289.9578881,697.1239471,334.1700804,730.6111908,236.0633665,733.5110092,297.2986007,720.1401901,355.0167024,8.95,29.09,7.41,21.89,3.76,2.66
923,50,-11.11341476,-10668.87817,15.69654465,-28.91578674,3.867702484,727.0678139,232.7477056,736.8319702,288.8955081,723.6825943,341.180495,742.8174591,234.330799,737.8794479,297.2669613,721.6410255,354.9225891,6.48,13.64,8.99,8.04,0.28,0.66
988,50,5.562400818,5339.904785,34.82671738,-34.08050537,-6.138210297,732.7542686,232.3611939,742.5928116,288.4948182,745.3041458,342.7214885,750.5973244,233.9748162,742.8068733,296.2898433,725.9038925,354.3697536,5.27,4.02,9.28,1.63,1.33,1.57
54,51,22.24891663,21358.95996,47.77816772,-39.2373848,-8.322887421,735.9478569,232.478739,746.307106,288.0135012,759.5407104,341.3997817,754.4952965,233.9239132,745.5101967,295.976733,724.8281479,354.776752,6.54,1.95,11.18,7.95,1.51,2.48
129,51,23.60183716,22657.76367,49.46525574,-47.84963608,-13.2421875,744.4613457,232.879284,756.0321808,287.6876128,769.0688324,341.6768754,762.5305367,234.6436357,750.0450897,297.1237957,724.3744469,354.6711802,7.67,0.96,14.07,7.75,3.13,2.83
184,51,4.704151154,4515.985107,34.84920502,-37.94254303,-8.559322357,753.3033943,233.0477804,759.3066216,290.4827213,762.0226479,342.4129164,769.7020912,235.3105724,758.4107208,297.8311265,740.141716,354.5637417,4.47,1.68,10.25,1.7,2.32,1.02
259,51,12.47457504,11975.59204,39.35537338,-49.22281265,-19.5529747,756.5888786,233.8295907,765.7308197,290.4710698,771.4643669,343.5760403,774.5984459,235.7723683,762.2908974,297.7991009,732.5081062,351.9953549,10.81,1.71,17.16,3.49,3.13,1.31
323,51,-25.68872452,-24661.17554,0.620212555,-40.66246033,-13.36521149,761.8216324,234.9271989,769.4896889,292.854706,752.9324913,344.5692837,781.4727974,236.1490309,776.3833237,298.5629189,750.697403,348.6564875,13.46,14.47,16.08,10.2,0.63,0.41
390,51,0.595493317,571.673584,28.45687866,-50.48933029,-22.51642227,765.5851364,234.744814,775.8257103,293.4122086,769.6158028,346.1219609,784.916954,236.0476917,784.6616364,297.631216,748.5452843,341.5918708,24.67,9.4,24.79,3.78,3.72,2.64
456,51,-2.761859894,-2651.385498,24.04523849,-34.95866776,-7.731571198,770.7774925,234.04553,776.9079208,293.1916666,773.4954071,346.0774791,789.8235512,235.6918055,792.5764847,295.4038131,767.3926735,343.1817234,18,5.42,16.51,2.06,5.21,0.71
