time(in ms), time(in s), hsL, hsL*wid, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
19,56,1.275730133,1224.700928,34.04864788,-10.24604559,14.22878981,135.8263636,267.1950424,143.2159138,323.6632776,142.8893709,375.6631243,107.8171992,269.9138206,105.0818396,328.2570648,104.0694308,384.0982425,0.93,4.41,0.57,0.18,8.74,5.11
91,56,3.356380463,3222.125244,33.68782997,-10.97333908,13.20611715,135.612359,266.5240502,143.0527925,321.4817727,142.5283957,374.0286613,108.8679957,269.5078683,104.7682428,327.9832864,103.4970403,382.9669833,1.51,4.68,0.73,0.3,10.15,4.87
156,56,3.364562988,3229.980469,33.68559837,-10.87337494,13.35491896,135.6104994,266.3560849,143.0117083,321.4673531,142.425828,374.0369976,108.8762927,269.114871,104.7766042,327.9400599,103.6065173,383.2349682,1.56,4.68,0.67,0.34,10.16,4.84
224,56,2.625231743,2520.222473,33.03689003,-12.64640093,11.71317816,136.255331,266.3495511,143.0767536,321.2613916,142.2469997,374.0316868,110.5118108,269.0260363,104.6965456,327.5918984,103.5069609,383.1552744,2.51,4.5,0.68,0.49,10.67,4.31
294,56,1.478533745,1419.392395,32.24504471,-14.81520653,10.33859968,137.0294523,266.3449162,143.2421064,321.2543428,142.1684074,374.001174,111.899507,268.803193,104.7931767,327.056154,103.3571076,383.1326151,3.1,4.3,0.81,0.64,11.1,3.63
375,56,-1.13697052,-1091.491699,29.50733185,-19.47939634,6.220192909,139.7914982,266.8068892,144.8235512,321.3188446,142.2818756,373.9710796,116.6499567,268.7525636,108.7312245,326.9816744,103.7391758,382.6898253,1.49,4.53,2.87,1.54,10.97,2.36
448,56,-4.677472115,-4490.37323,25.71408749,-26.03014469,0.927171707,143.8831472,268.0583489,145.1154041,322.3104465,142.6229095,373.8958919,123.4358311,269.0482128,119.8869395,327.3761523,106.4563751,382.3848581,5.86,2.29,7.81,1.54,8.18,0.39
526,56,-12.13209629,-11646.81244,19.39837933,-20.6213522,-1.719417572,150.2893209,267.9700613,149.1189337,322.3376119,142.5890207,373.9724958,131.4882803,268.7823522,137.5419044,326.6099846,119.1908956,374.5511448,15.52,3.38,12.14,4.05,3.56,0.85
594,56,-12.68699169,-12179.51202,15.80357552,-2.433285713,24.93178368,153.8537407,266.3703918,154.6756268,321.4626217,147.5175476,374.5308995,137.3463106,266.6571093,150.6854439,321.7262614,141.3389826,375.1244509,13.38,4.82,5.61,4.32,1.22,1.48
668,56,-19.4075489,-18631.24695,9.815568924,17.63779163,39.89215851,158.1431866,265.3910851,153.1335926,321.1599076,146.2437773,374.4425154,142.3683786,265.9173024,161.0752344,319.2094696,167.1196461,376.1659098,7.75,1.27,3.43,4.15,4.18,1.05
733,56,-28.65386009,-27507.70569,3.026146889,53.82059097,74.0303421,164.645462,265.4229176,155.5270672,321.7990673,143.102746,376.7885578,147.4135494,265.6740046,171.0558414,319.9497592,200.9371519,376.6731691,2.74,2.04,16.52,7.23,7.5,1.36
805,56,-34.20338631,-32835.25085,-2.251396179,69.00564194,92.53767014,169.9223614,265.9204727,157.0910168,321.9036734,142.952714,377.523762,153.6701202,266.3593519,188.408432,320.2792203,221.3911343,376.9303393,1.79,0.79,18.15,8.12,15.11,1.66
877,56,-46.94898605,-45071.02661,-15.03756523,62.73636818,88.50019455,182.8153038,268.0367357,164.8496819,321.9035447,143.5244465,377.1259046,167.6593494,269.1767335,203.533144,320.5780721,230.4647684,381.2574935,7.42,1.63,14.03,12.24,16.17,6.25
951,56,-54.70081329,-52512.78076,-24.36388493,54.6614027,85.07263184,190.6779957,267.9503149,170.8244276,320.8690059,144.6296597,374.3700314,175.3781605,269.0090901,210.2693081,320.4441762,232.6900721,383.7912476,9.63,3.48,11.28,15.38,15.11,8.13
18,57,-62.15146065,-59665.40222,-36.97965145,43.13910484,75.8272934,206.2960339,267.8609008,189.5272923,321.2116635,154.3801975,369.340117,189.6655369,269.0395868,222.363081,320.5145037,237.339406,384.6770847,12.18,12.31,7.5,22.32,14.15,6.78
88,57,-61.45018101,-58992.17377,-46.15294933,26.17315292,58.73645782,225.686388,266.9344121,222.8159237,322.364037,175.739522,357.4773932,206.7219257,268.6465412,230.5641174,322.9217005,238.3560133,386.43273,9.93,35.35,3.97,37.02,7.11,1.21
156,57,-47.30412483,-45411.95984,-23.67965698,13.10002327,43.98895741,241.2531853,266.514346,245.8523941,321.7792404,207.1556425,357.6876676,221.8862486,268.5729629,238.4011745,326.704098,240.6735134,386.1297905,7.85,33.9,1.25,31.22,2.49,1.66
228,57,-10.4679966,-10049.27673,14.48020935,-2.976465225,26.48672104,255.8873463,266.436165,277.0081902,316.2589967,254.1990566,361.8298781,236.2206173,268.6739159,239.3707895,328.5560453,238.671298,385.9078646,2.09,29.14,0.38,15.71,3.68,10.69
301,57,8.704061508,8355.899048,40.67459106,-9.905247688,20.05874634,261.4899158,265.9783602,288.9890671,313.0328786,277.060833,368.3787382,242.71451,268.5271615,240.1841354,328.2670426,239.0612555,385.7547212,0.74,25.11,0.61,6.9,6.21,15.89
367,57,25.28612137,24274.67651,57.76319504,-23.41189384,2.605333328,274.8597336,268.7864077,301.8809795,315.4837525,304.3418884,374.8930621,263.2371998,271.0259449,248.2965946,327.9111242,243.4733963,385.1183617,5.69,16.69,2.7,1.35,13.44,15.6
442,57,56.07845306,53835.31494,83.44559669,-41.02901459,-13.26693535,294.1386223,272.2049689,323.5700512,318.4573996,348.964262,374.6187687,278.3925247,273.9928007,258.9288139,329.3249166,242.735939,384.460212,1.81,5.42,9.37,14.29,15.35,16.64
538,57,37.94803619,36430.11475,69.65003014,-63.33432198,-35.81348419,316.4666176,273.2187152,342.2573948,321.5394187,357.9409504,377.1017647,302.3331356,274.7907364,282.3629665,330.4604888,247.4144268,380.2328682,10.14,7.69,21.54,9.04,16.59,11.81
