time(in ms),duration(in ms),HSL_count,HSL_time,HSR_count,HSR_time,TOL_count,TOL_time,TOR_count,TOR_time,FPS, time(in s), hsL, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
896,54,,,,,,,,,,37,37.4214077,69.21667099,-18.41564655,10.20669937,272.0531845,228.6658609,296.6314602,274.3754661,311.3675594,328.9543533,251.3210964,229.9734378,245.1001453,284.1676319,238.6744022,336.0440111,0.29,8.19,3.97,8.66,7.11,14.8
2,106,,,,,,,,,,38,47.2953701,78.68708611,-26.72086716,2.585992813,276.7676353,230.7799995,300.765667,277.9196835,324.7510242,328.7302709,260.2576733,231.6626501,248.7387657,284.0099502,239.5983124,335.5907607,1.36,1.11,5.68,14.89,10.35,15.06
40,38,,,,,,,,,,38,33.70316505,66.25494003,-48.52282047,-20.23229599,300.8678913,230.4571044,319.6272755,280.4629648,336.5380383,331.5066469,284.2191696,231.6608316,273.6003113,284.6112585,244.839592,334.0428793,11.69,1.36,18.11,10.58,10.05,10.74
152,112,,,,,,,,,,38,17.23454475,49.76034164,-52.12300301,-27.59396553,319.9136925,230.1162654,331.1375427,281.6921997,341.0502434,332.6024365,301.4317989,231.491273,304.1573238,287.0939648,261.0504341,323.5453141,35.21,0.73,33.62,6.27,2.04,5.25
191,39,,,,,,,,,,38,10.15674591,42.03964233,-46.80805206,-30.2586937,327.7796745,226.7288285,335.2177334,281.2997174,341.5551853,332.872256,310.3202248,227.9990208,319.8679447,285.8048308,274.8474598,317.6678967,43.78,0.43,38.47,3.97,0.46,3.03
302,111,,,,,,,,,,38,-24.02578354,6.987819672,0.046405792,28.18674088,349.3117332,226.0489529,355.3133297,280.904274,332.7576828,327.8550875,337.8743362,227.2521329,347.9443932,280.7619774,341.1777306,331.7221677,10.31,18.64,4.26,15.11,0.35,0.78
345,43,,,,,,,,,,38,-17.21689224,11.42701149,-5.841150284,25.38210869,355.0397015,225.0655586,367.6305771,277.9502285,345.7103348,326.635412,343.187685,226.6248018,349.0728092,278.528266,343.7002087,334.3985724,6.75,21.84,3.08,14.2,2.52,6.26
453,108,,,,,,,,,,38,-29.33964729,1.559286118,30.49452782,63.15856934,366.1900806,224.8208606,354.8701859,278.1944919,343.0315018,329.5024252,358.6038208,226.7996711,387.0857048,278.9183986,394.6919346,340.096904,13.09,0.59,4.02,7.38,10.88,5.67
494,41,,,,,,,,,,38,-43.34115028,-12.88244247,54.94362831,85.01358032,380.5054092,227.312724,360.5578423,280.3040922,343.8037777,332.3898447,374.6925831,228.8416958,403.1046581,284.4702494,431.3149166,339.9364543,0.06,1.7,15.98,10.24,10.79,10.8
586,92,,,,,,,,,,38,-59.55459595,-29.80885506,46.69612885,78.03294182,398.8800716,229.1812313,375.5755806,283.1656337,348.4593487,332.0305789,393.3667374,231.6381401,420.2380371,286.0963762,442.332201,338.9917481,2.29,3.69,13.24,17.32,10.21,13.3
638,52,,,,,,,,,,38,-72.66589165,-46.85105324,31.50126457,67.47608185,421.1200047,227.7288955,403.5976124,283.4107339,360.8403969,324.6140349,411.0758972,230.0079095,430.1029301,285.8739674,448.1201077,340.480181,0.33,20.23,10.53,30.26,5.38,11.9
