time(in ms), time(in s), hsL, hsL*width, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
500,51,9.251146317,8881.100464,37.28941441,17.72991657,29.47454453,216.3034201,244.9672008,238.8169956,290.3403604,230.604043,348.2311428,202.3818684,245.25078,204.1387367,298.8256574,221.8566799,348.2496178,10.34,20.16,11.41,4.55,2.82,15.11
582,51,-25.70185661,-24673.78235,8.024554253,58.46348763,89.28829193,220.6782818,246.0191846,233.9891768,295.0973976,201.050663,349.826113,209.0645885,245.387637,245.3043652,294.7207189,269.0561199,345.5577958,7.73,27.38,14.74,18.68,18.16,9.04
664,51,0.849924088,815.927124,30.73569775,7.10416317,13.42659473,234.9227858,247.9040748,253.4243202,294.9885106,241.7914295,349.6960151,218.0168867,247.588293,225.6384516,299.552815,230.5050802,348.538717,1.52,19.28,3.2,6.8,0.47,11.7
737,51,20.28774261,19476.23291,53.02185059,-40.20625591,-9.013094902,249.8683262,247.7196944,265.0964928,295.1973367,275.6132984,348.7699127,231.8076611,247.5174505,228.5702562,301.0216141,203.3917952,347.2030413,15.1,3.93,17.04,6.32,6.83,8.38
816,51,8.700227737,8352.218628,42.14160919,-43.35256577,-15.48694611,260.5275249,244.4216073,269.5122814,295.8882201,275.1257229,348.6770868,243.1916142,244.9162334,247.6170731,301.58005,209.7834063,339.0791667,32.09,2.19,29.56,3.44,2.66,4.43
889,51,-2.160043716,-2073.641968,31.44249916,-34.14858341,-11.21080399,274.4280052,242.4200732,277.476511,296.1578143,276.9442177,348.7684965,254.9954796,243.0895364,267.6230907,299.6213722,230.4930782,334.5301187,38.05,2.15,30.88,0.31,0.57,0.35
963,51,-18.64914894,-17903.18298,13.96227837,-12.57370949,10.5038166,279.0753365,242.0401919,280.838728,296.6467917,269.0677929,345.5809379,263.6174297,242.1152669,284.2311573,296.6072345,261.1556339,335.1883972,30.61,8.75,18.59,7.69,5.65,1.39
35,52,-10.32737732,-9914.282227,21.03335381,-1.299934387,20.92432022,287.9073715,240.8248937,295.9756565,293.850621,286.4137173,345.9044766,273.8771725,241.7722231,285.8774471,294.9820089,277.9257202,343.5924876,12.49,10.79,5.25,5.88,0.91,6.62
124,52,-23.95196915,-22993.89038,7.775716782,37.30476379,70.51754951,294.9325275,241.0758519,287.6913357,297.6667178,278.0989265,347.8903842,285.0884914,242.0918512,315.3156567,295.376519,326.675148,351.5089846,11.2,2.02,6.51,6.12,11.67,1.9
186,52,-33.94125938,-32583.60901,-2.033557892,54.21066284,84.3151474,303.6050034,244.3045771,291.026659,299.9033904,277.4219799,349.7340918,297.2299004,245.1435828,325.3230858,298.3824813,353.1133461,351.1225212,0.02,1.48,16.53,8.71,11.05,5.08
276,52,-39.0790844,-37515.92102,-9.7838974,57.9418087,85.61422348,310.3907204,248.2982308,297.7414227,301.394366,278.447113,350.053575,301.4077091,249.4766432,336.1773491,300.7293606,359.8631001,352.6847899,6.5,4.94,14.4,12.56,16.3,5.31
336,52,-50.87282181,-48837.90894,-19.25803185,41.45339012,73.51942062,322.0002365,248.7232375,306.3173389,301.2436688,281.2796688,349.1848612,318.0758286,249.5303786,345.0543308,299.6348906,363.0377483,352.8362596,6.08,6.84,10.78,16.36,11.48,7.75
429,52,-60.46643257,-58047.77527,-32.32718468,28.75342369,60.35820007,339.5705795,248.1938177,325.8864784,301.2070084,289.65909,341.7248011,332.5820446,249.0313107,354.1072083,300.0600743,365.4603767,353.3357942,6.51,18.44,6.85,26.69,7.58,8.19
492,52,-56.02975845,-53788.56812,-35.00893593,18.01714897,51.17643356,354.9045467,248.1350291,350.676527,301.8527663,309.5046043,331.5306902,342.0611286,248.0696905,362.8837109,300.0312352,365.6362438,353.6613929,11.05,35.43,1.67,37.96,8.95,3.77
584,52,-41.46800995,-39809.28955,-19.24827576,9.548549652,42.09488869,364.6372318,245.3888118,365.7999229,298.613323,334.5821857,329.8284101,353.3627701,245.3738934,371.6799259,299.9836957,368.5870457,353.4964371,12.55,30.06,1.84,29.35,6.98,0.9
653,52,-18.85334015,-18099.20654,3.793144226,-4.358196259,29.06187057,369.0739632,243.8766414,382.6959801,294.5835078,361.8513393,335.1334226,363.4896755,243.255828,372.1457577,297.5869274,364.9472523,351.0841227,9.45,24.72,4.31,16.12,2.81,7.58
737,52,13.57229233,13029.40063,47.99228668,-13.40051651,18.63844872,380.4513073,242.3716807,402.9729652,291.753509,398.2968521,344.0088844,373.0282974,242.7742696,377.238121,297.8644073,366.0615635,351.1352026,9.19,17.27,6.71,2.86,1.27,13.78
802,52,-26.1870575,-25139.5752,7.489929199,44.72866058,77.66201019,390.3730202,242.4243057,394.2002964,292.2875798,370.1517105,350.7882321,384.989748,242.9131866,411.5184689,294.0736413,433.5172749,348.7430692,3.51,15.49,12.77,13,14.87,3.36
880,52,-38.57471466,-37031.72607,-6.424427032,50.55699348,80.1867485,399.3531704,245.2441174,390.2885628,299.7700417,368.1557751,352.2747338,398.4262562,245.2804077,428.1453037,294.5244777,450.6578064,347.8288114,5.39,8,13.38,13.32,17.24,3.94
956,52,-54.0063858,-51846.13037,-24.04031754,37.87213326,70.55088043,415.9382629,248.0421549,397.0580578,300.0610399,370.9634399,350.3903425,413.8822746,247.2532153,440.4990864,294.9072719,455.1430321,348.4525537,8.7,4.72,8.77,16.25,14.68,10.07
43,53,-6.652851105,-6386.737061,22.63589859,-58.28773499,-28.84609222,434.7322369,247.793144,436.7482281,299.7525966,434.6008015,349.6296787,428.2584572,246.4696026,425.4260731,302.2533917,381.2947941,344.191221,28.99,2.64,30.61,1.37,5.56,0.57
