time(in ms), time(in s), hsL, hsL*wid, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
806,15,3.468418121,3329.681396,30.7705307,5.919828415,24.73836422,150.9355831,244.1060346,157.3562622,298.7672067,159.2698002,350.3467298,129.9615526,247.5115281,134.5159006,304.4961154,138.060894,357.9778612,0.44,2.58,2.15,1.21,4.71,2.71
877,15,4.378294945,4203.163147,30.69381237,4.11026001,25.79515457,151.6044903,245.5700058,155.9805822,301.1041081,159.6799994,351.3909566,130.3150034,247.9139721,133.7580299,305.5430782,137.1384716,358.6816835,0.12,0.17,2.06,2.38,4.9,1.76
942,15,4.413442612,4236.904907,30.09554386,3.92888546,27.3024416,151.5802002,245.5898488,155.9428883,301.1147618,159.6837044,351.3996792,130.3089237,247.9518396,133.8383245,305.611732,137.1960354,358.9136517,0.06,0.13,2.04,2.41,4.84,1.78
21,16,3.316082954,3183.439636,28.90007973,1.264128685,25.05286217,152.718401,246.3637251,156.4523506,301.2965834,159.7061491,351.3857102,133.0501413,248.7983769,134.099865,305.8124793,137.2591639,359.0597463,1.32,0.1,1.93,2.11,6.51,0.98
89,16,1.413545609,1357.003784,27.04479218,-1.501350403,22.5771904,154.5691395,246.5391737,157.7031898,301.4386868,159.6486998,351.409142,135.6917667,248.7936938,135.9544945,305.8185303,137.4511385,359.1063845,0.76,0.58,0.92,1.27,6.24,0.49
153,16,-0.680851936,-653.6178589,24.94884968,-3.582129478,20.55484772,156.666441,246.7301524,159.4621754,301.6339946,159.6872807,351.3875771,137.7753496,248.8065523,138.8123417,305.9951699,137.6762152,359.02933,1.27,1.49,0.68,0.16,5.49,0.47
228,16,-5.287585258,-5076.081848,20.33610821,-8.604354858,14.9356699,161.2753916,248.8777328,162.5096798,303.1248736,160.0470543,351.4146459,142.7840853,250.5594295,146.5910482,307.4002075,138.8363457,359.030875,6.99,2.38,4.82,1.63,4.69,0.03
299,16,-12.58040428,-12077.18811,14.87784863,-10.51061153,14.49274063,166.77495,248.8805813,169.2015839,303.2012844,160.0424194,349.7797644,149.9215364,250.8263361,161.3670444,307.0137441,147.0529032,356.3228309,15.81,7.75,9.26,6.3,0.86,0.77
364,16,-16.14991665,-15503.91998,13.37589741,-5.206532478,24.16142464,167.8984737,248.8470751,173.0213642,301.1302114,159.0953064,346.9756436,152.7935028,250.9452975,167.7830601,306.0335684,154.723177,355.3604865,17.17,12.85,8.46,9.68,1.75,3.06
435,16,-17.41401672,-16717.45605,11.57618523,10.63476563,37.65303612,171.7352057,248.6469716,170.6785154,301.8104088,160.960021,348.8658607,158.7310696,250.6011432,182.3513746,302.5814366,175.1029015,352.978363,18.96,5.99,4.61,6.61,7.47,1.22
506,16,-22.75663376,-21846.36841,7.21575737,38.07463646,66.87732697,176.0604858,248.7215155,169.4444704,303.9918494,160.1116705,351.331476,163.6689949,250.5477458,193.8376808,300.5422604,204.9222994,357.0093369,12.45,2.48,6.32,6.31,12.91,0.5
574,16,-30.31914711,-29106.38123,0.074000359,51.5910244,78.68273735,183.6679316,249.7629905,173.3352757,304.3280697,160.1597786,351.5866506,172.7319431,252.4632615,202.7959156,301.1464655,226.1184025,357.1598411,5.97,2.83,13.2,8.9,14.02,2.8
638,16,-33.86844635,-32513.7085,-2.833471298,57.05499172,83.94224167,187.2415066,250.2821428,175.4261112,304.2662716,160.3099251,351.9232249,175.3063202,252.7148151,207.995038,301.1862481,234.3745852,357.5829005,6.03,3.1,14.76,10.1,16.97,1.93
707,16,-42.42107391,-40724.23096,-11.86490536,53.46011639,82.53254414,196.4727831,253.1713647,180.5855656,304.5042264,161.7208099,351.6188693,186.80902,254.9683535,220.7576036,301.3032782,242.5727463,360.3337204,10.65,2.82,11.76,12.68,18.85,5.12
771,16,-52.69866943,-50590.72266,-26.58682823,42.2023201,74.68943596,210.9270716,252.7858347,190.7274342,302.819488,166.3530922,345.9381759,199.0327263,254.7216439,233.5338306,300.756526,245.6459713,360.424422,16.34,4.84,6.53,17.63,19.68,7.57
844,16,-55.90413094,-53667.9657,-35.08323669,36.38970852,68.93727779,219.4803286,252.4263436,199.1850185,302.3436749,172.5038767,341.9417703,206.8005323,253.9953071,238.5254431,300.9457827,247.7599812,360.249778,15.81,7.88,5.02,20.75,16.87,8.18
904,16,-56.7391777,-54469.6106,-43.70810509,20.71083069,52.9298687,235.537591,248.6997092,228.1153965,302.1574759,189.508338,332.9686868,221.0157681,251.481235,244.4037724,303.0268335,247.7379513,360.7617688,12.46,30.71,1.88,35.18,10.11,1.64
1,17,-36.62976265,-35164.57214,-15.74985981,6.406059265,39.15378571,250.224781,248.8290185,257.159214,301.861167,222.4330187,333.5770118,236.2373829,251.3207531,251.904974,308.0032861,248.537178,363.8767147,10.78,35.84,1.92,31.62,5.02,4.41
61,17,-8.42748642,-8090.386963,20.00344276,-3.599767685,28.42008591,259.573946,247.2796887,281.4068413,297.4501991,259.5597267,344.1936672,246.4202785,248.0057037,259.9708843,302.8649032,250.933485,360.6963336,12.93,28.48,5.01,14.72,6.59,14.41
153,17,11.45851135,11000.1709,46.13702774,-11.24802589,22.12154388,264.5388508,247.0359725,293.738966,294.0358865,285.1327801,346.4798748,253.6900234,247.3038608,261.2074757,302.9823518,250.3993034,360.7200873,10.35,24.54,5.99,5.26,3.11,20.89
196,17,46.99522018,45115.41138,77.04949379,-26.87161446,5.653038025,278.0786705,247.6737642,310.1152897,294.540925,329.2122459,349.0322328,270.3501606,248.366273,261.4907169,305.0359797,250.2132797,360.6212747,1.49,9.88,6.49,11.17,5.11,21.56
