time(in ms), time(in s), hsL, hsL*wid, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
80,1,-3.399209976,-3263.241577,29.10164595,-0.722637177,20.6377387,117.8945661,268.9414662,119.5768261,326.1058474,119.535563,378.1044388,93.55979204,271.5317237,101.2002897,330.6195867,98.91285181,388.514843,5.43,0.97,1.26,0.01,4.46,0.76
150,1,-5.328791142,-5115.639496,26.62596703,-1.272075176,22.53109932,118.2794523,267.5488526,119.3714476,327.0409942,118.8675714,377.8438568,93.9136076,271.037339,101.1971068,331.6575372,99.09634352,389.4549465,5.04,0.91,1.16,0.3,5.06,0.12
213,1,-5.291719437,-5080.050659,26.57156467,-1.157970428,22.51805305,118.3222961,267.5339019,119.37325,327.0374215,118.9048433,377.7687013,93.94453526,271.1206377,101.1016917,331.6683841,99.16324139,389.4523716,4.89,0.87,1.07,0.28,5.14,0.14
293,1,-5.772607327,-5541.703033,26.01256371,-1.627321243,22.03883886,118.8332748,267.5243264,119.4274664,327.0397389,118.9232755,377.7648067,94.43723202,271.0380471,101.2438202,331.6932321,99.17701006,389.4582295,4.76,0.64,1.14,0.3,4.83,0.06
344,1,-6.359696388,-6105.308533,25.41670561,-2.21126318,21.44396782,119.4136119,268.2784724,119.9657536,327.3212099,118.9382243,377.8639734,95.01126051,271.0743213,102.0631814,331.7463398,99.17025089,389.4551075,5.36,0.96,1.6,0.64,3.57,0.76
424,1,-7.947256565,-7629.366302,24.66523647,-4.722976685,17.84137487,121.2407541,268.8658118,120.6719542,327.3437726,118.9303637,377.879101,97.61246681,271.069268,103.1513143,331.8274498,98.89288187,388.9143419,5.34,0.8,2.39,1.09,3.2,0.79
499,1,-8.891994953,-8536.315155,23.89660835,-6.56378746,15.9380579,122.1907139,268.8345909,121.8575335,327.3379147,118.8683939,377.7988601,99.97542143,270.7456648,107.2358751,331.7601156,99.50749397,388.7736869,8.19,1.72,4.35,1.89,1.65,1.73
565,1,-8.666267395,-8319.616699,24.09652233,-6.688742638,18.03487301,122.6167917,268.2785368,122.5839472,326.378113,119.0262222,376.7550838,101.5127563,269.9209017,109.8099375,331.0320246,103.3640385,387.3432219,8.05,2.26,3.67,2.26,0.81,2.03
637,1,-10.68677187,-10259.30099,21.58937931,-1.617736816,24.96479988,125.1090717,267.7700543,126.2474012,325.5983627,119.4095206,376.7603946,104.2795515,268.7298882,115.4900622,329.8866034,109.5618224,385.5209827,9.32,4.93,3.42,4.28,0.39,3.57
704,1,-10.92745543,-10490.35721,19.02019501,4.326431751,34.44969177,127.6638508,266.7853725,130.5876446,321.3885605,122.3457241,372.2779405,108.3937883,268.1183767,121.6239309,325.1745307,118.6134267,381.1962426,9.16,6.93,1.72,5.19,1.91,4.99
