time(in ms), time(in s), hsL, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
297,7,3.951265812,33.55884075,12.81802654,34.54693794,94.39963818,237.2708112,98.71972561,293.0503678,102.0808911,342.9246819,71.98830128,240.9401536,79.23058033,298.3014679,87.87199259,348.8376975,1.43,0.32,5.51,2.19,4.08,1.34
366,7,5.240514278,34.56867456,11.9883585,30.98550081,93.71597528,236.860562,97.86007404,293.2539797,102.7011824,345.0443566,72.12014437,239.7076356,79.9213028,299.3394828,87.84511328,349.9636137,0.82,0.64,5.04,3.03,3.88,1.3
436,7,5.102090836,34.51524496,12.07243681,33.24739695,93.58268023,236.8399143,97.83091307,293.732239,102.5525665,344.8743153,72.02577353,239.690609,79.88903046,299.3457913,87.84457684,349.39726,0.87,0.57,5.12,2.99,3.82,1.4
498,7,5.048890114,34.84354734,12.21922159,33.89322281,93.61778498,236.7455435,99.29678679,293.1086576,102.5847244,344.9727094,72.04175234,239.618817,80.66739321,299.2404449,89.19017315,349.2777193,0.82,1.2,5.48,2.06,3.35,2.38
582,7,7.287869453,35.44170856,10.8080864,31.46090984,93.65730286,238.0975056,105.4698586,293.3104348,104.5195699,345.7959116,72.00111866,240.5644405,81.04556322,300.2209103,87.50775576,349.2446637,0.63,7.45,4.25,0.57,2.65,6.05
636,7,8.725261688,36.65529728,9.816040993,30.86449385,93.76792431,238.9655274,111.1852956,292.7094805,106.0258985,345.9355044,72.05851078,241.7342913,81.10155344,300.5065334,86.54570818,349.2589867,1.35,13.45,3.61,3.1,1.77,9.62
744,7,11.74978495,42.810359,8.802616596,35.81283331,96.11078739,239.1926515,119.5332241,290.169965,113.6320066,343.4438503,73.17710638,242.9364574,81.81761742,300.6503105,87.08482504,351.0276353,1.45,18.06,3.38,3.55,1.21,13.46
791,7,25.18285275,56.7539835,5.966920853,34.42523003,98.76747608,239.2078274,126.06534,287.466073,127.5021029,342.4637067,75.98912001,242.9889053,82.62155771,300.7189965,87.09342241,352.6958942,0.93,16.81,2.79,0.86,2.03,16.82
906,7,36.99517965,67.91302443,0.177598,29.69665289,104.7493529,242.3314637,133.805151,288.0580795,144.034009,342.1015763,81.81168079,245.8045328,85.28464079,301.2923026,87.12377071,353.60497,0.88,13.59,1.15,6.1,3.45,18.63
951,7,43.84361029,74.29811239,-5.872600079,23.3550024,111.0040927,243.0988866,139.9301147,288.4872544,157.2074747,342.1335053,88.33843231,246.8605077,88.8142848,301.736573,87.80425072,353.4715891,0.91,9.45,0.61,10.29,4.74,18.6
57,8,43.04427624,75.37127495,-14.83818769,13.81631613,119.8863745,245.218851,148.9143562,292.4993026,165.190587,343.8378453,97.60190248,248.8540757,94.18887377,303.1748593,88.46820831,353.4051883,1.64,8.94,3.65,10.13,6.39,16.8
103,8,34.54380512,66.81527138,-26.53907776,2.751145363,130.4150391,246.200636,156.2978983,293.9489508,168.4847403,347.1946406,109.2774796,249.1924363,103.367722,303.3662403,88.84657145,353.102088,5.82,9.62,9.31,7.36,8.17,13.98
202,8,19.26313877,51.41849041,-39.21448231,-11.05268955,145.187974,246.4582247,164.0225029,295.1103365,169.4575453,348.5342109,123.2028866,248.854301,119.697597,303.4349906,93.8076067,346.6003168,16.57,9.01,18.63,3.29,7.74,9.18
244,8,14.63045597,47.216506,-41.5236783,-16.75382853,150.1935625,246.1760134,165.8447027,295.5033982,169.6933937,349.4623411,129.7343874,247.9739356,131.5311956,303.5966957,97.71700859,341.6421461,27.6,7.82,26.55,2.32,5.05,7.06
353,8,3.607592583,35.65684319,-35.23746729,-15.47199726,162.5995445,242.6864648,171.5823269,296.2710142,170.753932,349.3751156,142.7022457,244.0866745,155.145278,301.3068509,117.6163101,335.8746779,38.39,5.89,31.41,0.48,0.57,1.74
392,8,-4.490218163,26.92482948,-14.0426302,4.217791557,170.2505064,241.8334419,177.4304724,295.3261149,167.7376986,345.9772825,152.1757364,243.3269119,175.1805782,297.8204727,148.0013752,337.7379227,34.31,10.46,20.95,6.12,5.77,2.12
494,8,-19.68144894,10.65293312,23.51283073,54.79279518,185.7791805,238.2875508,181.6327715,293.8496554,172.7158499,344.4294977,166.4459896,240.0702488,199.8476601,286.782335,197.7704144,342.3832726,23.11,3.26,1.19,5.65,15.51,1.28
534,8,-23.52554798,7.992939949,46.29939079,77.6620388,189.1498375,239.5824784,179.7453976,296.6910481,171.7361784,349.0703416,172.4843502,240.1895642,210.9181309,289.3022811,223.5154724,350.5975914,17.16,0.38,6.61,4.9,17.08,2.8
628,8,-37.28161812,-5.050005913,66.68071747,95.85459709,202.3407125,242.7271807,186.2075186,300.7043839,171.3185835,350.6003594,185.6449699,243.2439673,224.3813181,294.1084993,252.5457573,352.3928905,7.98,0.63,15.23,9.51,17.34,6.76
670,8,-44.56691265,-12.50209808,64.50666904,92.74087429,209.4965172,243.3589858,192.3069477,300.018425,172.2903013,350.1998949,193.0843592,243.5503185,231.2525082,293.3954394,258.3251095,352.1336603,8.77,2.96,14.55,12.63,16.79,7.54
773,8,-60.49009323,-29.04413223,49.89579678,81.61575794,229.3021917,243.6181676,211.996851,300.0029111,180.0034046,345.5596304,211.4353323,244.0431905,249.2746639,296.2194514,265.5118275,355.6331384,13.45,11.76,8.76,21.54,14.88,9.14
811,8,-57.51088142,-35.08945942,35.37723541,66.88539505,245.5564785,243.6956245,245.4821491,300.1440489,200.8445263,334.1114044,226.4007568,245.1148081,257.5823593,297.7347922,266.1179924,355.9315717,13.72,36.43,4.73,36.47,10.8,0.05
923,8,-41.05187416,-17.00466156,17.70933151,48.56823921,261.0456276,243.0093116,267.6000023,298.2393479,232.6870537,330.2651489,244.1193295,245.0840378,267.5332546,300.5654669,267.3804188,355.9604752,13.44,35.34,0.07,31.51,5.76,2.15
964,8,-15.67059517,7.586660385,6.857328415,38.46817017,272.1847057,243.0071068,295.5029297,292.7023995,265.6008339,332.7122569,254.705801,245.2229548,267.7643394,302.1538711,267.378931,355.3151357,7.59,37.59,0.22,22.79,1.69,12.14
82,9,12.82851219,44.13471222,-8.696451187,25.33885002,283.0936718,243.0679554,304.9782658,289.3506896,301.5129089,348.250519,269.7040272,244.1294181,278.4797287,297.7459288,267.5076199,355.0303495,11.41,16.79,6.13,1.88,1,12.85
125,9,-20.96883774,10.54252625,50.12228966,83.26294899,284.481554,243.4483516,283.1329823,298.3466578,270.2225304,354.2587745,279.0518761,243.3458215,319.016819,289.1127026,332.2662449,348.4035337,19,6.61,7.18,7.38,21.36,0.4
216,9,-37.33300209,-5.172042847,67.43659973,97.07662582,297.164669,245.6778628,282.7543831,301.3943017,267.9014969,354.4468403,294.7595787,244.7343475,333.2714653,291.0373271,361.8367195,345.409416,8.61,0.67,16.48,8.93,20.82,7.57
261,9,9.082889557,41.87825203,-23.17296982,-13.12356949,316.3258553,247.4798083,329.5179176,300.9236705,331.3460255,353.8446951,312.7918911,247.215187,319.4941235,293.6912978,298.9626789,346.3435006,17.01,6.79,12.37,1.13,0.32,6.18
