time(in ms), time(in s), hsL, hsL*wid, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
357,40,-5.347123146,-5133.23822,24.61085558,8.747234344,34.79383707,100.8965421,242.7067423,101.9904757,300.038445,100.895412,355.4030693,73.95237207,244.8943466,78.30413818,304.0272224,85.41764975,362.0818985,1.57,1.25,3.96,0.62,4.02,1.51
423,40,-4.851136208,-4657.090759,25.72787762,8.156969547,31.28923416,100.8802414,239.9976844,101.0641837,299.202143,100.9665585,356.0086584,74.13141489,241.9046706,77.88055658,303.261795,84.76135254,361.9343233,1.81,0.16,3.79,0.04,5.28,1.15
491,40,-4.81651783,-4623.857117,25.23365736,8.132243156,31.22582674,100.8800483,239.5022213,100.9515023,299.120357,101.0671949,356.7066872,74.19781923,241.2494177,77.87672281,303.2549715,84.64184046,362.370193,1.77,0.03,3.7,0.08,5.41,1.1
556,40,-4.988265038,-4788.734436,24.87436295,7.430534363,31.07270479,101.1458302,239.4999522,100.9658074,298.991611,101.2147951,356.7413521,74.99623775,241.2463921,78.37093592,303.2137728,84.66919899,362.3872197,1.67,0.24,3.44,0.16,5.26,1.18
624,40,-6.652693748,-6386.585999,23.11443329,3.704638481,27.38506079,102.8466511,239.8659289,102.0208812,299.7624457,101.3081503,356.7465663,78.7735033,241.2640947,79.47260857,303.6363816,84.68082905,362.3595715,2.49,0.04,2.87,0.39,5.62,0.92
688,40,-9.78518486,-9393.777466,19.19755697,0.127995014,23.80853891,105.9855294,240.458225,104.4122458,300.5170584,101.3543916,356.8557107,82.14736462,241.3294011,85.95943451,303.893584,84.68887568,362.6372123,2.66,0.9,0.68,1.73,3.64,1.09
760,40,-11.67803049,-11210.90927,17.27179527,-2.209346294,21.37651205,107.9283142,241.4227903,105.9994483,301.1204588,101.569705,356.7892778,84.51282263,241.8506294,89.86101866,304.1138363,85.34502983,362.6270413,5.25,1.52,2.47,2.55,2.89,1
847,40,-15.94607592,-15308.23288,13.76562595,-2.45562315,24.81798649,110.1625872,241.1014885,108.5712719,300.2974176,100.8115125,354.0251327,88.38408709,241.7565483,99.14192677,302.4386895,91.32102728,360.674994,10.01,3.78,4.31,4.63,0.02,1.48
897,40,-15.31395435,-14701.39618,14.78412151,2.606856823,33.15295458,113.019948,240.0660807,114.6163201,297.4610782,103.356564,349.4038582,92.81704187,241.7519456,107.7072501,301.4458001,101.5560651,360.0893283,11.36,7.85,3.36,6.94,2.5,3.87
7,41,-17.12281466,-16437.90207,10.41003227,9.864284992,44.53910351,116.1240292,239.9307203,113.2657027,297.514894,104.1062307,350.8335185,98.57043743,241.59428,119.1124821,300.0934196,117.6535964,359.8043811,11.96,3.92,0.77,5.5,5.52,1.15
