time(in ms), time(in s), hsL, hsL*wid, toL, hsR, toR, hipL.x, hipL.y, kneeL.x, kneeL.y, ankleL.x, ankleL.y, hipR.x, hipR.y, kneeR.x, kneeR.y, ankleR.x, ankleR.y, rk_ang, lk_ang, ra_ang, la_ang, hipR_ang, hipL_ang
216,32,0.147843361,141.9296265,27.08072662,-1.784434319,23.4375,178.1496763,240.4314941,178.8289404,296.5498781,182.4127865,347.4774313,157.5136042,242.9786056,158.5107994,300.9928715,158.7893915,359.09145,0.4,1.88,0.17,2.28,6.5,2.64
294,32,0.159173012,152.8060913,28.34907532,-2.251253128,23.08515072,177.7569294,240.7371855,179.4013166,296.6005397,182.7752781,346.5188527,157.6493025,243.7988144,158.914547,301.6366017,159.147234,358.768909,0.57,1.23,0.15,2.19,5.52,2.17
352,32,-0.125398636,-120.3826904,28.35784435,-2.25153923,23.00060749,177.7049446,240.6711549,179.4066095,296.4122164,182.7398014,346.5076196,157.6456547,243.6744457,158.8644505,301.6172576,159.1307831,358.7985528,0.53,1.16,0.16,2.16,5.54,2.2
429,32,-0.289821625,-278.2287598,28.24939728,-2.33130455,22.86473751,177.8155088,240.9676731,179.7209215,296.2544703,182.7354527,346.5475309,157.7163935,243.7763321,158.8221502,301.6188347,159.1005135,358.9384031,0.46,0.82,0.17,1.95,5.54,1.74
485,32,-0.530190468,-508.9828491,28.35094929,-2.835030556,21.5907526,177.9945374,241.2410009,180.9206057,296.1526644,182.6039886,346.7804325,158.2135105,243.9434606,158.8400316,301.6172254,159.0135956,358.9767373,0.25,0.65,0.11,1.09,5.13,0.9
571,32,-1.63623333,-1570.783997,27.40207672,-3.828921318,20.57302952,178.9948082,241.4847171,182.1441793,296.027652,182.5218058,346.8571007,159.2397594,244.2629117,159.0637636,301.6414297,158.9848423,358.9953089,0.05,1.62,0.03,0.26,5.26,0.44
623,32,-3.278460503,-3147.322083,25.58465481,-6.988806725,17.84641743,180.7803154,242.520318,182.9226351,296.0415566,182.3987246,346.9742274,162.3807049,244.5904899,159.9969149,301.6834331,159.0011501,358.8580334,0.78,1.62,0.55,0.32,6.27,0.9
713,32,-5.495624542,-5275.799561,23.24661255,-10.05834103,14.92770195,183.0856419,242.6013958,183.8976431,295.9217262,182.362504,347.0674396,165.278492,244.5838755,161.3401508,301.5479922,158.9660597,358.1820524,0.88,1.46,1.34,0.95,7.02,2.08
766,32,-8.687953949,-8340.435791,20.04414082,-14.54877377,10.35318375,186.3767767,242.6191467,185.7348204,296.1970174,182.4925804,346.8138421,169.5654774,244.4786417,165.7277155,302.0020473,158.8875246,358.1670856,1.77,1.68,3.9,2.05,7.28,3.1
860,32,-11.83180332,-11358.53119,17.43710518,-17.24348545,8.176589012,189.5146322,242.6082355,188.8950062,298.5046935,182.6215267,347.1566927,172.7917957,244.0743792,176.9890594,301.9481671,161.584754,357.2192574,11.25,3.79,8.9,4.13,2,1.97
914,32,-19.26514149,-18494.53583,10.78649998,-14.6232748,10.72681904,193.0384254,242.2601706,195.7127094,298.1721103,181.6551018,345.9836876,178.8078117,243.3601123,188.5232878,300.432955,171.2339258,352.8894639,15.97,10.93,10.49,9.38,0.87,0.14
60,33,-19.40310001,-18626.97601,7.744703293,-7.565646172,16.96905613,196.3187742,242.1133196,198.2658577,295.6167912,186.8617916,344.4668341,184.2748404,242.889964,199.6507788,292.8649092,185.8226109,345.416497,18.24,8.65,8.41,7.47,5.53,1.23
102,33,-22.37830639,-21483.17413,5.148625374,21.57734871,47.10031986,199.2216539,241.8342304,196.1088896,295.6537735,186.3812828,344.5382559,190.7870579,242.5183707,214.0217257,292.6315248,216.9365644,345.8824289,12.85,4.52,1.78,6.37,10.32,0.23
228,33,-27.18678474,-26099.31335,2.844743729,43.49022388,71.38079166,203.4626484,243.2283247,195.4748726,297.064991,184.1814995,346.4057493,196.1693716,243.9462769,228.9825726,293.4122407,242.7995682,346.7868376,12.18,2.57,8.3,7.32,17.5,1.21
309,33,-36.81072235,-35338.29346,-6.71391964,61.02524757,84.71729279,213.4541416,245.874458,198.6385202,298.8180292,183.9294147,347.0225072,208.0542183,247.4423593,244.9059391,295.6207502,269.5255852,347.0520222,8.21,0.79,15.09,9.72,21.88,2.94
369,33,-50.38743496,-48371.93756,-21.82305336,51.57041073,78.00248623,228.3912563,249.4040143,203.5405254,300.108676,184.9235058,346.9973052,222.7088499,251.8795431,256.4800358,298.808341,275.7519436,349.8257911,10.04,2.82,12.01,12.58,19.61,10.06
446,33,-59.54963207,-57167.64679,-36.11602306,38.64850044,67.60339737,243.7813282,248.6974239,223.0152082,299.271183,193.1276608,343.2684982,238.6629009,250.7425386,267.6243496,298.9892936,280.938406,352.3073387,10.66,7.91,8.01,20.9,15.78,8.47
502,33,-60.06501675,-57662.41608,-46.92110538,22.57189751,54.42360878,262.8287601,245.4992759,259.8042297,297.6160562,212.9313898,330.1448679,254.0528584,245.9680241,273.6510372,298.471123,281.9724941,352.6342571,6.92,37.16,4.96,39.02,9.16,0.13
585,33,-51.84080601,-49767.17377,-34.24123764,16.03989601,45.21097183,271.5635777,242.3454326,270.8492088,297.249999,230.5537462,328.329742,260.8053589,243.7717617,276.4355564,298.0621612,281.601963,352.7803195,6.16,35.68,3.06,36.1,6.71,0.5
647,33,-27.03000069,-25948.80066,-8.881931305,6.063423157,37.10569382,283.2376099,240.2882481,299.5939922,290.7738161,265.1015568,326.9818997,270.7887268,241.4206499,283.815937,294.3046117,281.6163826,352.290988,9.11,38.51,1.2,28.18,7.55,10.56
719,33,1.863641739,1789.096069,30.18170357,-6.048746109,22.27286339,296.7545414,240.9121674,319.6595478,289.6304548,307.2721195,340.6112444,282.5398636,241.8304163,287.8170204,295.2399516,283.3766842,351.3564849,5.73,22.6,2.53,7.77,5.22,15.18
780,33,-21.74780846,-20877.89612,8.068170547,44.64520454,73.65995407,300.1326084,241.4604002,299.526186,299.8359275,284.6625137,350.7518291,302.6079369,242.1358824,338.628931,291.1098433,351.7796516,348.4079111,15.12,8.99,7.37,9.31,23.88,3.45
884,33,-29.42150116,-28244.64111,-0.933866501,57.03852654,81.90616608,305.7374668,242.4355549,294.9100399,299.6426475,282.3508072,352.1916926,311.8433189,243.4640265,346.8743706,291.9567025,370.6820297,347.621659,8.59,1.58,13.54,7.64,24.31,1.43
931,33,53.5692215,51426.45264,78.01342964,-45.57795525,-17.13372231,327.3198509,245.3542918,360.5170727,297.7447379,385.6412601,350.3372991,327.7992439,246.9972843,329.5168018,296.3174272,289.5088291,349.3619192,24.11,4.58,22.98,15.05,3.51,20.97
